date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,86.1899,86.2632,84.2285,84.586,54748791,54748791,-1.4389,-1.673,84.9637,"Jun 12, 14",0
2014-06-13,84.5035,84.7235,83.2937,83.6603,54525280,54525280,-0.925693,-1.094,83.9228,"Jun 13, 14",-0.010943891424112643
2014-06-16,83.8711,85.0076,83.8161,84.5035,35561270,35561270,0.843204,1.008,84.4144,"Jun 16, 14",-0.00097533870853328
2014-06-17,84.6043,84.9618,84.1369,84.3935,29726347,29726347,-0.109982,-0.13,84.5093,"Jun 17, 14",-0.0022757903199110427
2014-06-18,84.5676,84.586,83.7244,84.4852,33514108,33514108,0.091652,0.109,84.1826,"Jun 18, 14",-0.001191686567516994
2014-06-19,84.586,84.5951,83.7143,84.1919,35527686,35527686,-0.293287,-0.347,84.1624,"Jun 19, 14",-0.004659163454945199
2014-06-20,84.1827,84.8243,83.312,83.3212,100898066,100898066,-0.870697,-1.034,83.9249,"Jun 20, 14",-0.014952829073369044
2014-06-23,83.6969,83.9719,83.0371,83.2479,43694391,43694391,-0.073322,-0.088,83.3428,"Jun 23, 14",-0.015819402738041725
2014-06-24,83.1745,84.0819,82.6613,82.7438,39036087,39036087,-0.504091,-0.606,83.4886,"Jun 24, 14",-0.021779017804364854
2014-06-25,82.6796,83.1287,82.1664,82.8171,36868541,36868541,0.073322,0.089,82.7523,"Jun 25, 14",-0.020912444139692173
2014-06-26,82.8263,83.4495,82.3038,83.312,32629359,32629359,0.494925,0.598,82.7744,"Jun 26, 14",-0.015061594117229812
2014-06-27,83.2387,84.3202,83.1929,84.3019,64028803,64028803,0.989844,1.188,91.4265,"Jun 27, 14",-0.003358711843567436
2014-06-30,84.4118,85.9012,84.4027,85.1726,49589028,49589028,0.870698,1.033,85.2863,"Jun 30, 14",0.00693495377485641
2014-07-01,85.7133,86.2174,85.3559,85.7133,38223477,38223477,0.540751,0.635,86.3074,"Jul 1, 14",0.013327264559146967
2014-07-02,86.0295,86.2082,85.3192,85.6766,28465073,28465073,-0.036664,-0.043,85.79,"Jul 2, 14",0.012893386612441715
2014-07-03,85.8508,86.2449,85.42,86.1807,22891753,22891753,0.50409,0.588,85.8831,"Jul 3, 14",0.018853001678764844
2014-07-07,86.2815,87.9771,86.2449,87.957,56467939,56467939,1.7762,2.061,87.3482,"Jul 7, 14",0.039852930745040496
