date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,117.7871,118.0598,115.8336,116.3176,3831603,3831603,-1.6807,-1.424,116.7101,"Jun 12, 14",0
2014-06-13,116.6167,116.9863,115.7544,116.4056,2376911,2376911,0.087994,0.076,116.3467,"Jun 13, 14",0.0007565493098207673
2014-06-16,116.3264,117.1447,115.8424,116.6255,2169076,2169076,0.21998,0.189,116.602,"Jun 16, 14",0.0026470628692476772
2014-06-17,116.2384,117.0743,115.904,116.5464,2223350,2223350,-0.079192,-0.068,116.5324,"Jun 17, 14",0.0019670282055338725
2014-06-18,116.6871,116.7399,115.2969,116.5727,2865125,2865125,0.026396,0.023,115.9964,"Jun 18, 14",0.0021931332833552168
2014-06-19,116.5727,116.9687,115.9744,116.8719,2795278,2795278,0.299179,0.257,116.5379,"Jun 19, 14",0.004765400936745581
2014-06-20,117.4527,117.9806,116.2296,116.2384,8086238,8086238,-0.63355,-0.542,116.9866,"Jun 20, 14",-0.0006808943788386294
2014-06-23,116.432,116.6167,114.9625,115.1385,4436368,4436368,-1.0999,-0.946,115.3094,"Jun 23, 14",-0.010136901036472601
2014-06-24,114.8305,115.4814,113.5106,113.6426,4322064,4322064,-1.4959,-1.299,114.4912,"Jun 24, 14",-0.0229973795882996
2014-06-25,113.5458,113.6338,111.1172,111.8035,7930180,7930180,-1.839,-1.618,112.0657,"Jun 25, 14",-0.0388084004484274
2014-06-26,112.1115,113.0178,111.1867,112.6483,3929845,3929845,0.844729,0.756,112.2687,"Jun 26, 14",-0.03154552707414865
2014-06-27,112.6923,113.3153,112.2435,113.1058,3688198,3688198,0.457563,0.406,115.87,"Jun 27, 14",-0.02761233037820585
2014-06-30,112.5515,112.5515,111.0468,111.9531,5714756,5714756,-1.1527,-1.019,111.9886,"Jun 30, 14",-0.03752226662173216
2014-07-01,112.3315,112.9211,112.0675,112.7627,3776278,3776278,0.809534,0.723,112.6458,"Jul 1, 14",-0.030562012971381832
2014-07-02,112.7627,113.0706,112.0499,112.2963,2859242,2859242,-0.466361,-0.414,112.3532,"Jul 2, 14",-0.03457172431343147
2014-07-03,112.6219,113.1762,112.3667,113.0794,1997530,1997530,0.783132,0.697,112.864,"Jul 3, 14",-0.02783929517115202
2014-07-07,112.7187,113.9506,112.4283,113.5898,3161772,3161772,0.510358,0.451,113.456,"Jul 7, 14",-0.023451309174192057
2014-07-08,113.4138,113.4842,110.8004,111.566,5725199,5725199,-2.0238,-1.782,111.6036,"Jul 8, 14",-0.040850223869818465
2014-07-09,112.9035,112.9123,110.7916,111.566,8025001,8025001,0,0,111.4906,"Jul 9, 14",-0.040850223869818465
2014-07-10,110.4661,112.3051,110.0928,111.566,3936933,3936933,0,0,111.4849,"Jul 10, 14",-0.040850223869818465
2014-07-11,111.9091,112.8419,111.1876,112.7099,3194698,3194698,1.1439,1.025,112.2743,"Jul 11, 14",-0.031015942557274172
2014-07-14,113.4314,114.9009,113.295,113.9682,5271166,5271166,1.2583,1.116,114.133,"Jul 14, 14",-0.020198147141963062
2014-07-15,114.6633,114.6633,112.9299,113.5986,4916677,4916677,-0.369569,-0.324,113.5641,"Jul 15, 14",-0.02337565424320992
2014-07-16,114.0034,114.0034,111.8761,112.1203,5265197,5265197,-1.4783,-1.301,112.2668,"Jul 16, 14",-0.036084822933072885
2014-07-17,111.9355,112.7891,110.686,110.7652,5296017,5296017,-1.3551,-1.209,111.664,"Jul 17, 14",-0.0477348225891869
2014-07-18,111.2052,112.4723,111.0908,112.3139,3107465,3107465,1.5487,1.398,111.9751,"Jul 18, 14",-0.03442041445146732
