date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,92.8593,92.885,91.1215,91.3012,3413837,3413837,-1.7464,-1.877,91.6319,"Jun 12, 14",0
2014-06-13,91.2156,91.7978,90.8047,91.404,2009110,2009110,0.102728,0.113,91.3386,"Jun 13, 14",0.0011259435801501186
2014-06-16,91.1728,91.4981,90.5136,91.4382,2137219,2137219,0.034244,0.037,91.1141,"Jun 16, 14",0.0015005279229626824
2014-06-17,91.1814,91.6009,90.7448,91.3184,2138433,2138433,-0.119852,-0.131,91.2415,"Jun 17, 14",0.00018838744726249542
2014-06-18,91.2841,92.1145,90.7876,92.0118,2218721,2218721,0.69343,0.759,91.5813,"Jun 18, 14",0.007783030233994729
2014-06-19,91.5923,91.9604,91.3355,91.8149,2592653,2592653,-0.196903,-0.214,91.7269,"Jun 19, 14",0.0056264320731819525
2014-06-20,92.4997,93.7668,92.1488,93.6383,7771201,7771201,1.8235,1.986,93.3229,"Jun 20, 14",0.025597692034715937
2014-06-23,93.527,94.0398,92.7052,93.1247,2839500,2839500,-0.513651,-0.549,93.1176,"Jun 23, 14",0.0199723552373902
2014-06-24,92.9364,93.6041,91.6009,92.2943,2867655,2867655,-0.830399,-0.892,92.7803,"Jun 24, 14",0.010877184527695283
2014-06-25,92.0118,93.2103,91.9005,92.8336,2176188,2176188,0.539332,0.584,92.7242,"Jun 25, 14",0.01678400722005855
2014-06-26,92.9278,93.1418,92.3285,92.9021,1522940,1522940,0.068487,0.074,92.7471,"Jun 26, 14",0.01753427118153989
2014-06-27,92.748,93.2103,92.2258,93.1247,3632056,3632056,0.22258,0.24,96.8658,"Jun 27, 14",0.0199723552373902
2014-06-30,93.0391,93.3387,92.4313,93.0305,2249520,2249520,-0.094168,-0.101,93.2632,"Jun 30, 14",0.018940605380871327
2014-07-01,93.3815,93.9551,93.3216,93.4586,2349546,2349546,0.428041,0.46,93.5334,"Jul 1, 14",0.023629481321165657
2014-07-02,93.587,94.1263,93.5698,93.7924,1850198,1850198,0.333872,0.357,93.8397,"Jul 2, 14",0.0272855121290849
2014-07-03,94.0835,95.1622,93.9037,95.0937,2876160,2876160,1.3012,1.387,94.7604,"Jul 3, 14",0.041538336845517956
2014-07-07,94.3232,94.5543,93.801,94.3061,2697071,2697071,-0.787595,-0.828,94.2955,"Jul 7, 14",0.032911944202266855
2014-07-08,94.3489,94.4944,93.6555,93.7068,2453493,2453493,-0.599258,-0.635,93.9003,"Jul 8, 14",0.02634795599619728
2014-07-09,93.9893,94.4174,93.6726,94.289,2270652,2270652,0.582133,0.621,94.1518,"Jul 9, 14",0.03272465203086057
2014-07-10,92.5768,93.801,92.2857,93.6212,2303670,2303670,-0.667743,-0.708,93.3328,"Jul 10, 14",0.025410399863309657
2014-07-11,93.7411,94.1605,93.0134,94.1349,1992680,1992680,0.51365,0.549,93.7817,"Jul 11, 14",0.031036831936491607
2014-07-14,94.5372,95.0594,94.2462,94.2462,2375244,2375244,0.111292,0.118,94.5199,"Jul 14, 14",0.03225587396441676
2014-07-15,94.3831,94.5287,93.6555,94.0407,3212896,3212896,-0.205461,-0.218,93.9842,"Jul 15, 14",0.030005082079972736
2014-07-16,94.3232,95.419,94.1006,95.3676,3978544,3978544,1.3269,1.411,94.9965,"Jul 16, 14",0.04453829741558711
2014-07-17,94.2736,94.9111,93.9462,94.9111,2424943,2424943,-0.456562,-0.479,94.5833,"Jul 17, 14",0.03953836313213858
2014-07-18,94.2736,94.9111,93.9462,94.9111,2424953,2424953,0,0,94.5833,"Jul 18, 14",0.03953836313213858
2014-07-21,94.7646,95.2384,94.2908,94.9628,2076559,2076559,0.051689,0.054,94.8708,"Jul 21, 14",0.04010462074978212
2014-07-22,95.4883,95.8673,94.5923,94.8163,2879870,2879870,-0.146453,-0.154,95.0887,"Jul 22, 14",0.03850004162048258
2014-07-23,94.5837,94.7474,93.2225,93.369,4479081,4479081,-1.4473,-1.526,93.6624,"Jul 23, 14",0.022648114154030896
2014-07-24,90.974,91.5168,89.6732,90.4916,8690333,8690333,-2.8774,-3.082,90.4435,"Jul 24, 14",-0.008867353331609979
2014-07-25,89.7162,90.7587,89.6818,90.3279,4126827,4126827,-0.163686,-0.181,90.2799,"Jul 25, 14",-0.010660319908172015
2014-07-28,90.2676,90.371,88.8806,89.7249,4474333,4474333,-0.603045,-0.668,89.4334,"Jul 28, 14",-0.01726483332092009
2014-07-29,90.4571,91.6977,90.1901,90.1901,7947103,7947103,0.465207,0.518,90.748,"Jul 29, 14",-0.012169610037984094
2014-07-30,90.526,90.7328,88.76,89.0615,5861710,5861710,-1.1286,-1.251,89.2527,"Jul 30, 14",-0.024530893350799325
2014-07-31,88.0794,88.4671,86.7872,86.7958,6712263,6712263,-2.2657,-2.544,87.4083,"Jul 31, 14",-0.04934655842420466
2014-08-01,86.5976,86.8819,85.3829,86.5976,6011947,6011947,-0.198145,-0.228,86.3607,"Aug 1, 14",-0.05151739517114775
2014-08-04,86.4598,87.9157,86.2358,87.709,5183870,5183870,1.1113,1.283,87.3431,"Aug 4, 14",-0.03934449930559501
2014-08-05,87.1059,88.2775,86.9595,87.4419,5685357,5685357,-0.267063,-0.304,87.6819,"Aug 5, 14",-0.042269981117444136
2014-08-06,86.8044,87.7434,86.6752,87.4333,5526876,5526876,-0.008615,-0.01,87.2901,"Aug 6, 14",-0.04236417484107539
2014-08-07,88.4412,89.139,87.7693,87.8209,5753105,5753105,0.387674,0.443,88.2332,"Aug 7, 14",-0.03811888562253289
2014-08-08,87.8813,89.1132,87.6832,88.9754,4693762,4693762,1.1544,1.314,88.5781,"Aug 8, 14",-0.02547392586296786
2014-08-11,90.1211,90.3279,89.5353,90.0264,5197873,5197873,1.051,1.181,90.1021,"Aug 11, 14",-0.01396257661454613
2014-08-12,90.8965,91.3186,90.4523,91.0257,4175640,4175640,0.999334,1.11,91.0419,"Aug 12, 14",-0.0030174849837679447
2014-08-13,89.8799,90.8879,89.8799,90.595,4664922,4664922,-0.430745,-0.473,90.5984,"Aug 13, 14",-0.0077348380963228915
2014-08-14,90.8965,91.3186,90.4523,91.0257,4178778,4178778,0.430745,0.475,91.0419,"Aug 14, 14",-0.0030174849837679447
2014-08-15,91.3272,91.6805,90.5691,91.0946,4099265,4099265,0.068922,0.076,75.575,"Aug 15, 14",-0.0022628399188619054
2014-08-18,91.9131,92.2663,91.5598,92.1629,3479007,3479007,1.0683,1.173,92.0819,"Aug 18, 14",0.009437992052678378
2014-08-19,92.4041,92.7823,92.0681,92.4386,3642656,3642656,0.275679,0.299,92.4812,"Aug 19, 14",0.01245766758815875
2014-08-20,92.5161,93.1708,92.3524,92.7832,5342080,5342080,0.344598,0.373,92.8768,"Aug 20, 14",0.01623198818854516
2014-08-21,93.1881,93.5327,92.6453,93.0158,4118278,4118278,0.232605,0.251,93.1916,"Aug 21, 14",0.018779599830013236
2014-08-22,92.6798,92.8865,91.7838,92.4472,4608793,4608793,-0.568589,-0.611,92.2684,"Aug 22, 14",0.012551861311789998
2014-08-25,93.0072,93.3259,92.809,93.0158,3018673,3018673,0.568589,0.615,93.0834,"Aug 25, 14",0.018779599830013236
2014-08-26,93.0847,93.5887,93.0244,93.0933,2865758,2865758,0.077534,0.083,93.2231,"Aug 26, 14",0.019628438618550525
2014-08-27,93.1536,93.8342,93.1105,93.5154,3281859,3281859,0.422131,0.453,93.5391,"Aug 27, 14",0.024251598007474222
2014-08-28,93.0588,93.748,92.8693,93.6016,3231713,3231713,0.086152,0.092,93.4624,"Aug 28, 14",0.02519572579549897
2014-08-29,93.817,93.9893,93.257,93.9634,4438234,4438234,0.361827,0.387,93.8227,"Aug 29, 14",0.029158433843147723
2014-09-02,93.929,94.532,93.7567,93.8342,4040595,4040595,-0.129223,-0.138,94.01,"Sep 2, 14",0.02774333743696689
2014-09-03,94.2908,94.4717,93.0847,93.4379,4669044,4669044,-0.396288,-0.422,93.4581,"Sep 3, 14",0.023402759218936933
2014-09-04,93.3001,94.3252,93.1795,93.748,4604030,4604030,0.310138,0.332,93.834,"Sep 4, 14",0.026799209648942297
2014-09-05,93.9031,94.0582,93.2053,93.5068,4305038,4305038,-0.241218,-0.257,93.5756,"Sep 5, 14",0.024157404283842974
2014-09-08,93.2398,93.4379,92.6281,92.9641,3504737,3504737,-0.542745,-0.58,92.9838,"Sep 8, 14",0.01821334221236969
2014-09-09,92.8865,93.2139,92.3438,92.5247,3579649,3579649,-0.439361,-0.473,92.7615,"Sep 9, 14",0.013400700100327284
2014-09-10,90.9826,91.4229,90.7845,91.2583,8161966,8161966,-1.2664,-1.369,91.1565,"Sep 10, 14",-0.00046987334229986943
2014-09-11,91.0257,91.0257,90.1039,90.9654,5461033,5461033,-0.292906,-0.321,90.6257,"Sep 11, 14",-0.003677936325042737
2014-09-12,90.4313,90.5347,89.9402,90.4744,6908543,6908543,-0.491052,-0.54,90.2478,"Sep 12, 14",-0.009055740778872475
2014-09-15,89.8713,90.371,88.9237,90.3365,7052180,7052180,-0.137841,-0.152,89.8643,"Sep 15, 14",-0.010566126184540767
2014-09-16,89.7765,91.1722,89.3975,90.3365,5289678,5289678,0,0,90.3763,"Sep 16, 14",-0.010566126184540767
2014-09-17,90.6122,90.8103,89.4922,89.587,5126226,5126226,-0.749503,-0.83,89.9637,"Sep 17, 14",-0.018775218726588383
2014-09-18,89.8541,90.0695,89.0787,89.8885,3916001,3916001,0.301523,0.337,89.6621,"Sep 18, 14",-0.015472962020214422
2014-09-19,90.3279,90.4571,87.9416,88.312,8291118,8291118,-1.5765,-1.754,88.9489,"Sep 19, 14",-0.03273998589284694
2014-09-22,87.9588,88.0966,86.8561,86.925,5098577,5098577,-1.387,-1.571,87.1549,"Sep 22, 14",-0.047931462018023833
2014-09-23,86.8905,87.0887,86.0463,86.141,5711592,5711592,-0.783962,-0.902,86.4998,"Sep 23, 14",-0.056518424730452495
2014-09-24,86.1841,87.4333,86.0549,87.1834,5796973,5796973,1.0424,1.21,86.7793,"Sep 24, 14",-0.045101269205662015
2014-09-25,87.0111,87.1834,85.4518,85.7275,4967045,4967045,-1.4559,-1.67,85.9104,"Sep 25, 14",-0.061047390395744944
2014-09-26,85.6672,86.701,85.4949,86.477,2935984,2935984,0.749504,0.874,86.2006,"Sep 26, 14",-0.052838297853697334
2014-09-29,85.5897,86.2358,84.6506,86.0032,3156364,3156364,-0.473824,-0.548,85.7329,"Sep 29, 14",-0.058027714860264576
2014-09-30,86.1755,86.2315,85.1158,85.314,3755930,3755930,-0.689196,-0.801,85.5413,"Sep 30, 14",-0.06557635606103755
2014-10-01,84.978,85.2881,83.7978,84.0907,4834717,4834717,-1.2233,-1.434,84.3789,"Oct 1, 14",-0.0789748656096524
2014-10-02,84.1251,84.4094,82.8286,83.9184,4461047,4461047,-0.172301,-0.205,83.5998,"Oct 2, 14",-0.08086202590984554
2014-10-03,84.4611,84.7196,83.591,83.9011,3922147,3922147,-0.017229,-0.021,84.0325,"Oct 3, 14",-0.08105150863296424
2014-10-06,84.263,84.5386,83.4876,84.4266,3983697,3983697,0.525511,0.626,84.1137,"Oct 6, 14",-0.07529583400875346
2014-10-07,83.6427,84.0045,81.5712,81.5837,6479495,6479495,-2.8429,-3.367,82.6378,"Oct 7, 14",-0.10643343132401328
2014-10-08,81.4803,83.4445,80.6705,83.2636,6214176,6214176,1.6799,2.059,81.8967,"Oct 8, 14",-0.08803389221609352
2014-10-09,82.8846,83.1516,80.3259,80.5499,6414868,6414868,-2.7137,-3.259,81.2261,"Oct 9, 14",-0.11775639312517251
2014-10-10,80.3259,81.4717,78.9217,80.2312,6179172,6179172,-0.318753,-0.396,80.2639,"Oct 10, 14",-0.12124703727880898
2014-10-13,80.369,81.0324,78.9303,78.982,5856964,5856964,-1.2492,-1.557,79.9511,"Oct 13, 14",-0.13492922327417378
2014-10-14,79.697,81.8508,79.5937,79.9469,6791267,6791267,0.964878,1.222,80.7039,"Oct 14, 14",-0.12436090653792059
2014-10-15,78.7666,79.9038,77.5778,79.766,9379130,9379130,-0.180914,-0.226,78.7532,"Oct 15, 14",-0.12634226056174497
2014-10-16,78.6375,81.7278,78.3597,80.9378,7439609,7439609,1.1719,1.469,80.759,"Oct 16, 14",-0.11350781807906138
2014-10-17,81.7712,82.9864,81.5802,82.509,7447827,7447827,1.5712,1.941,82.4382,"Oct 17, 14",-0.09629884382680616
2014-10-20,82.0576,82.726,80.9639,81.6236,4274409,4274409,-0.885419,-1.073,81.5437,"Oct 20, 14",-0.10599641625739857
2014-10-21,82.5003,83.6114,82.5003,83.2382,3995387,3995387,1.6146,1.978,83.1457,"Oct 21, 14",-0.08831209228356242
2014-10-22,82.9257,83.3172,81.6409,82.0923,6215679,6215679,-1.1458,-1.377,82.3792,"Oct 22, 14",-0.10086285831949636
2014-10-23,84.7226,86.7538,84.4969,86.1722,11670137,11670137,4.0799,4.97,86.0005,"Oct 23, 14",-0.056176698663325246
2014-10-24,86.3805,86.5281,85.391,86.3198,4133823,4133823,0.147569,0.171,86.0896,"Oct 24, 14",-0.05456007149960782
2014-10-27,85.6601,85.7382,84.3276,85.5385,4346054,4346054,-0.781252,-0.905,85.1701,"Oct 27, 14",-0.06311746176391982
2014-10-28,86.3198,87.8128,85.9639,87.8128,5069568,5069568,2.2743,2.659,87.3029,"Oct 28, 14",-0.038207602966883226
2014-10-29,88.134,88.4031,86.667,86.9708,4426350,4426350,-0.84202,-0.959,87.2055,"Oct 29, 14",-0.0474298256758947
2014-10-30,88.6896,89.601,88.1262,89.4014,2805402,2805402,2.4306,2.795,89.1741,"Oct 30, 14",-0.020808050715653236
2014-10-31,87.9778,88.8632,87.5351,88.0299,5367845,5367845,-1.3715,-1.534,88.1275,"Oct 31, 14",-0.035829759083122636
2014-11-03,88.2035,88.3337,86.6062,86.9969,4435058,4435058,-1.033,-1.173,87.1807,"Nov 3, 14",-0.04714395867743248
2014-11-04,86.5889,86.8059,85.1045,85.5993,4848950,4848950,-1.3976,-1.606,85.5869,"Nov 4, 14",-0.06245153404336411
2014-11-05,86.3285,86.4934,85.463,86.2937,3515623,3515623,0.694448,0.811,86.0952,"Nov 5, 14",-0.054845938498070054
2014-11-06,86.3805,87.6653,86.1462,87.5958,3427724,3427724,1.3021,1.509,87.1577,"Nov 6, 14",-0.0405843515747876
2014-11-07,87.8996,88.3944,87.5871,88.3337,2708167,2708167,0.737851,0.842,88.1402,"Nov 7, 14",-0.03250231103205655
2014-11-10,88.4205,89.0194,88.4205,88.7243,3308115,3308115,0.390626,0.442,88.7387,"Nov 10, 14",-0.028224163537828584
2014-11-11,88.8111,89.2365,88.1948,89.0021,2465927,2465927,0.277781,0.313,88.8498,"Nov 11, 14",-0.025181487209368508
2014-11-12,88.6896,89.601,88.1262,89.4014,2808733,2808733,0.399305,0.449,89.1741,"Nov 12, 14",-0.020808050715653236
2014-11-13,89.4622,89.5663,87.3962,87.7694,3924096,3924096,-1.632,-1.825,88.0461,"Nov 13, 14",-0.03868295268846401
2014-11-14,87.674,88.2816,87.3701,87.9691,2660490,2660490,0.199654,0.227,87.9192,"Nov 14, 14",-0.036495686803678346
