date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,21.2899,21.3411,21.0083,21.0424,26900429,26900429,-0.324255,-1.518,21.1046,"Jun 12, 14",0
2014-06-13,21.0467,21.1448,20.9912,21.0765,20947626,20947626,0.034133,0.162,21.0711,"Jun 13, 14",0.001620537581264432
2014-06-16,20.923,21.1021,20.8632,20.9315,19251335,19251335,-0.14506,-0.688,20.9558,"Jun 16, 14",-0.005270311371326507
2014-06-17,20.8974,21.0083,20.8291,20.9059,17972802,17972802,-0.0256,-0.122,21.0983,"Jun 17, 14",-0.006486902634680531
2014-06-18,21.0765,21.1192,20.8718,21.0168,24724403,24724403,0.110927,0.531,21.0058,"Jun 18, 14",-0.001216591263354025
2014-06-19,21.0083,21.0851,20.8632,21.0851,20646826,20646826,0.068267,0.325,21.0357,"Jun 19, 14",0.0020292362087974735
2014-06-20,21.0168,21.2472,20.9997,21.1875,39707996,39707996,0.102395,0.486,21.1404,"Jun 20, 14",0.006895601262213404
2014-06-23,21.1704,21.2472,21.0339,21.0765,18752284,18752284,-0.110929,-0.524,21.1112,"Jun 23, 14",0.001620537581264432
2014-06-24,21.0083,21.1107,20.923,20.9315,24301971,24301971,-0.14506,-0.688,21.0145,"Jun 24, 14",-0.005270311371326507
2014-06-25,20.9485,21.1448,20.8291,21.0936,22584002,22584002,0.162126,0.775,21.0488,"Jun 25, 14",0.0024331825267078807
2014-06-26,21.0424,21.1661,20.8888,21.0339,19134751,19134751,-0.059731,-0.283,21.1003,"Jun 26, 14",-0.0004039463179105761
2014-06-27,20.9912,21.1405,20.8888,21.0765,35000284,35000284,0.042665,0.203,21.8422,"Jun 27, 14",0.001620537581264432
2014-06-30,21.0509,21.2472,21.0083,21.2045,23996086,23996086,0.127993,0.607,21.2353,"Jun 30, 14",0.007703493898034388
2014-07-01,21.324,21.4264,21.1363,21.4008,34613220,34613220,0.196263,0.926,21.3508,"Jul 1, 14",0.01703227768695584
2014-07-02,21.4696,21.6158,21.3836,21.5212,30197226,30197226,0.120376,0.562,21.509,"Jul 2, 14",0.022754058472417578
2014-07-03,21.6244,21.7103,21.6072,21.6587,19598757,19598757,0.137572,0.639,21.6556,"Jul 3, 14",0.029288484203322765
2014-07-07,21.4954,21.7103,21.4696,21.6931,21293566,21293566,0.034393,0.159,21.6401,"Jul 7, 14",0.030923278713454763
2014-07-08,21.6759,21.7619,21.547,21.5556,34622899,34622899,-0.13757,-0.634,21.6558,"Jul 8, 14",0.024388852982549405
2014-07-09,21.6845,21.9253,21.6158,21.8737,35610460,35610460,0.31813,1.476,21.8223,"Jul 9, 14",0.03950594989164728
2014-07-10,21.7103,21.9425,21.6845,21.8737,27278787,27278787,0,0,21.847,"Jul 10, 14",0.03950594989164728
2014-07-11,21.9425,22.0543,21.8737,21.9425,20945929,20945929,0.068786,0.314,21.9544,"Jul 11, 14",0.04277553891191111
2014-07-14,22.0199,22.0543,21.8393,21.8737,19244308,19244308,-0.068786,-0.313,21.9116,"Jul 14, 14",0.03950594989164728
2014-07-15,21.8221,22.0801,21.8049,22.0715,29495978,29495978,0.197759,0.904,21.9966,"Jul 15, 14",0.04890601832490589
2014-07-16,22.123,22.3982,22.123,22.338,40476713,40476713,0.26654,1.208,22.3367,"Jul 16, 14",0.061570923468805855
2014-07-17,22.2176,22.3552,21.9898,22.0371,29570341,29570341,-0.300933,-1.347,22.1625,"Jul 17, 14",0.04727122381477389
2014-07-18,22.0973,22.3208,22.0715,22.2778,25465861,25465861,0.240746,1.092,22.2251,"Jul 18, 14",0.0587100330760749
2014-07-21,22.2606,22.3122,22.1145,22.2262,20825966,20825966,-0.051589,-0.232,22.2148,"Jul 21, 14",0.05625784131087699
2014-07-22,22.3122,22.424,22.2778,22.3122,28735712,28735712,0.085983,0.387,22.3443,"Jul 22, 14",0.0603448275862069
2014-07-23,22.1145,22.1746,21.9683,22.0801,28761335,28761335,-0.232151,-1.04,22.0585,"Jul 23, 14",0.04931471695243893
2014-07-24,22.166,22.2692,22.0758,22.209,21876611,21876611,0.128974,0.584,22.196,"Jul 24, 14",0.055440444055811076
2014-07-25,22.1832,22.3724,22.0801,22.3294,28641293,28641293,0.120374,0.542,22.2809,"Jul 25, 14",0.06116222484127281
2014-07-28,22.123,22.3552,21.9855,22.2864,27686408,27686408,-0.042991,-0.193,22.2283,"Jul 28, 14",0.059118731703607943
2014-07-29,22.252,22.3638,22.0887,22.1059,22444236,22444236,-0.180562,-0.81,22.215,"Jul 29, 14",0.05054081283503772
2014-07-30,22.209,22.2176,21.8995,22.0371,26124216,26124216,-0.068784,-0.311,22.0175,"Jul 30, 14",0.04727122381477389
2014-07-31,21.9081,21.9253,21.6416,21.6931,28226460,28226460,-0.343926,-1.561,21.7629,"Jul 31, 14",0.030923278713454763
2014-08-01,21.6158,21.6759,21.3234,21.4954,28609413,28609413,-0.197757,-0.912,21.4659,"Aug 1, 14",0.021527962589818622
2014-08-04,21.4438,21.6845,21.375,21.6373,17252442,17252442,0.141868,0.66,21.5706,"Aug 4, 14",0.028271489944112795
2014-08-05,21.5126,21.5986,21.3836,21.4696,21176784,21176784,-0.167665,-0.775,21.4919,"Aug 5, 14",0.020301866707219667
2014-08-06,21.4352,21.6759,21.3664,21.4352,20990550,20990550,-0.034392,-0.16,21.5024,"Aug 6, 14",0.01866707219708767
2014-08-07,21.504,21.59,21.2288,21.375,24123698,24123698,-0.060188,-0.281,21.3685,"Aug 7, 14",0.015806181804356886
2014-08-08,21.3836,21.547,21.2718,21.5212,21656527,21656527,0.146169,0.684,21.4268,"Aug 8, 14",0.022754058472417578
2014-08-11,21.5728,21.8135,21.504,21.6931,25956067,25956067,0.171965,0.799,21.7043,"Aug 11, 14",0.030923278713454763
2014-08-12,21.6759,21.7275,21.4954,21.6244,21934971,21934971,-0.068783,-0.317,21.605,"Aug 12, 14",0.0276584420028134
2014-08-13,21.6416,21.7275,21.4352,21.6673,43224570,43224570,0.042987,0.199,21.5559,"Aug 13, 14",0.029697182830855807
2014-08-14,21.4438,21.4438,20.9107,21.0999,63790214,63790214,-0.567479,-2.619,21.1069,"Aug 14, 14",0.0027325780329240483
2014-08-15,21.203,21.203,20.8677,21.0053,33625941,33625941,-0.094577,-0.448,21.0425,"Aug 15, 14",-0.0017631068699389021
2014-08-18,21.0569,21.203,21.0053,21.1773,27666914,27666914,0.171962,0.819,21.1293,"Aug 18, 14",0.006410865680720746
2014-08-19,21.1773,21.2288,21.1515,21.1858,20348896,20348896,0.008596,0.041,21.1872,"Aug 19, 14",0.006814811998631323
2014-08-20,21.1085,21.2804,21.0827,21.246,20229017,20229017,0.060189,0.284,21.2091,"Aug 20, 14",0.009675702391362107
2014-08-21,21.2804,21.418,21.2546,21.4008,20881827,20881827,0.154768,0.728,21.3588,"Aug 21, 14",0.01703227768695584
2014-08-22,21.3836,21.4696,21.1858,21.1944,22453672,22453672,-0.206355,-0.964,21.3184,"Aug 22, 14",0.007223510626164364
2014-08-25,21.2374,21.3578,21.2288,21.2374,19356815,19356815,0.042989,0.203,21.2736,"Aug 25, 14",0.009267003763829234
2014-08-26,21.2374,21.4352,21.2116,21.332,17053449,17053449,0.094578,0.445,21.3643,"Aug 26, 14",0.013762688666692016
2014-08-27,21.3148,21.375,21.246,21.3234,15753794,15753794,-0.008597,-0.04,21.3106,"Aug 27, 14",0.013353990039158974
2014-08-28,21.2374,21.4094,21.1858,21.3664,15506352,15506352,0.04299,0.202,21.3334,"Aug 28, 14",0.015397483176823844
2014-08-29,21.4094,21.4868,21.289,21.4868,17972307,17972307,0.120376,0.563,21.4259,"Aug 29, 14",0.02111926396228558
2014-09-02,21.4438,21.4911,21.2804,21.3922,19836085,19836085,-0.094581,-0.44,21.3744,"Sep 2, 14",0.0166235790594228
2014-09-03,21.4438,21.6072,21.4266,21.5298,22043379,22043379,0.137572,0.643,21.5364,"Sep 3, 14",0.02316275709995062
2014-09-04,21.5642,21.6158,21.3492,21.418,20268911,20268911,-0.111775,-0.519,21.4847,"Sep 4, 14",0.017849674942021755
2014-09-05,21.375,21.5556,21.375,21.4954,19865202,19865202,0.077383,0.361,21.4803,"Sep 5, 14",0.021527962589818622
2014-09-08,21.4352,21.5727,21.332,21.4524,14189834,14189834,-0.042994,-0.2,21.4457,"Sep 8, 14",0.019484469452153753
2014-09-09,21.3922,21.4696,21.1515,21.375,19076594,19076594,-0.077383,-0.361,21.3722,"Sep 9, 14",0.015806181804356886
2014-09-10,21.3578,21.4954,21.3578,21.4352,15738779,15738779,0.060188,0.282,21.4497,"Sep 10, 14",0.01866707219708767
2014-09-11,21.4266,21.6673,21.3664,21.6502,22106436,22106436,0.214954,1.003,21.5762,"Sep 11, 14",0.028884537885412356
2014-09-12,21.633,21.7189,21.5556,21.633,33197323,33197323,-0.017195,-0.079,21.6441,"Sep 12, 14",0.028067140630346273
2014-09-15,21.4524,21.5728,21.3836,21.547,33412035,33412035,-0.085983,-0.397,21.4728,"Sep 15, 14",0.023980154355016534
2014-09-16,21.4954,21.8522,21.4782,21.6845,31902713,31902713,0.137571,0.638,21.7052,"Sep 16, 14",0.03051458008592172
2014-09-17,21.6158,21.7619,21.5556,21.6716,25703284,25703284,-0.012897,-0.059,21.7032,"Sep 17, 14",0.029901532144622326
2014-09-18,21.6416,21.7275,21.6244,21.6845,15939969,15939969,0.012897,0.06,21.6953,"Sep 18, 14",0.03051458008592172
2014-09-19,21.6759,21.7533,21.504,21.6673,47343687,47343687,-0.017197,-0.079,21.6635,"Sep 19, 14",0.029697182830855807
2014-09-22,21.6587,21.6587,21.375,21.4696,21346828,21346828,-0.197758,-0.913,21.4639,"Sep 22, 14",0.020301866707219667
2014-09-23,21.3836,21.5212,21.2116,21.2374,20750887,20750887,-0.232149,-1.081,21.3087,"Sep 23, 14",0.009267003763829234
2014-09-24,21.2632,21.5298,21.1773,21.4782,19700375,19700375,0.240748,1.134,21.3977,"Sep 24, 14",0.02071056533475271
2014-09-25,21.461,21.461,21.0655,21.0999,27242027,27242027,-0.37832,-1.761,21.1663,"Sep 25, 14",0.0027325780329240483
2014-09-26,21.0655,21.5728,21.0311,21.4954,29863678,29863678,0.395518,1.875,21.3884,"Sep 26, 14",0.021527962589818622
2014-09-29,21.2632,21.6673,21.2632,21.5986,28708554,28708554,0.103178,0.48,21.5739,"Sep 29, 14",0.026432346120214445
2014-09-30,21.5726,21.8758,21.5293,21.8065,36919335,36919335,0.207935,0.963,21.7776,"Sep 30, 14",0.036312397825343075
