date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,154.6242,155.4544,153.9339,154.8108,2309882,2309882,0.494397,0.32,154.8227,"Jun 12, 14",0
2014-06-13,155.0067,155.8462,154.3071,154.7455,1761060,1761060,-0.065302,-0.042,154.947,"Jun 13, 14",-0.0004218051970534852
2014-06-16,154.4003,155.3425,153.4022,154.7082,1756421,1756421,-0.037307,-0.024,154.5698,"Jun 16, 14",-0.0006627444596888289
2014-06-17,154.5123,157.4133,154.335,156.9189,2450024,2450024,2.2108,1.429,156.6369,"Jun 17, 14",0.013617267012379029
2014-06-18,156.6111,158.6727,156.0514,158.4488,2876387,2876387,1.5298,0.975,157.8134,"Jun 18, 14",0.023499652479026044
2014-06-19,158.5794,158.7286,157.5813,158.3275,2306899,2306899,-0.121268,-0.077,158.2256,"Jun 19, 14",0.02271611541313646
2014-06-20,158.8779,159.5868,158.0384,158.4301,4688187,4688187,0.102612,0.065,159.09,"Jun 20, 14",0.023378859872825473
2014-06-23,158.7473,159.1577,157.8424,158.8032,1747482,1747482,0.373128,0.236,158.6408,"Jun 23, 14",0.025788898448945444
2014-06-24,158.1596,159.0924,156.6671,156.9283,1608028,1608028,-1.875,-1.181,157.7424,"Jun 24, 14",0.013677986290362215
2014-06-25,156.5458,157.6652,156.154,157.0682,1601762,1601762,0.139921,0.089,157.1467,"Jun 25, 14",0.014581670012686388
2014-06-26,155.7809,156.8163,155.1932,156.7231,2131196,2131196,-0.345144,-0.22,156.2297,"Jun 26, 14",0.012352497370984374
2014-06-27,156.0141,156.3872,155.1932,155.5757,3111220,3111220,-1.1474,-0.732,169.7761,"Jun 27, 14",0.0049408697584407
2014-06-30,155.6596,156.6298,155.1932,156.1913,1888923,1888923,0.61566,0.396,156.3594,"Jun 30, 14",0.008917336516573856
2014-07-01,155.1746,156.9656,154.9041,155.6037,2947811,2947811,-0.587675,-0.376,155.7693,"Jul 1, 14",0.005121735692858657
2014-07-02,155.7809,156.5393,155.3798,155.6783,1877603,1877603,0.074627,0.048,155.8278,"Jul 2, 14",0.005603614218129528
2014-07-03,156.5551,158.4861,156.4525,158.0756,1801184,1801184,2.3973,1.54,157.8529,"Jul 3, 14",0.02108896795314027
2014-07-07,157.6186,157.6186,155.6876,156.5085,1774012,1774012,-1.5671,-0.991,156.346,"Jul 7, 14",0.01096628917362353
2014-07-08,155.5384,155.5757,152.7306,153.8313,2429360,2429360,-2.6772,-1.711,153.8093,"Jul 8, 14",-0.006327077955801543
2014-07-09,154.1391,154.223,152.6373,153.6074,1943880,1943880,-0.223878,-0.146,153.464,"Jul 9, 14",-0.007773359481379773
2014-07-10,151.322,152.7772,150.6784,152.4414,2204137,2204137,-1.166,-0.759,151.9495,"Jul 10, 14",-0.015305133750358586
2014-07-11,152.0683,154.0459,151.4747,153.7287,2293327,2293327,1.2873,0.844,153.3809,"Jul 11, 14",-0.006989822415490373
2014-07-14,155.9488,156.4525,155.2772,155.7809,3007711,3007711,2.0522,1.335,155.7523,"Jul 14, 14",0.0062663586778183575
2014-07-15,158.2995,158.7186,155.9208,157.8051,4831795,4831795,2.0242,1.299,157.4777,"Jul 15, 14",0.01934167383670913
2014-07-16,157.8331,159.5029,157.6465,159.0178,3305227,3305227,1.2127,0.768,159.0182,"Jul 16, 14",0.027175106646306287
2014-07-17,158.7753,160.0719,157.5719,158.71,3815487,3815487,-0.307831,-0.194,159.0101,"Jul 17, 14",0.0251868732672398
2014-07-18,158.9618,160.2491,158.2491,159.9506,2564222,2564222,1.2407,0.782,159.4904,"Jul 18, 14",0.0332005260614893
2014-07-21,158.7379,160.5383,158.626,160.1838,2235585,2235585,0.233206,0.146,159.7242,"Jul 21, 14",0.03470688091528492
2014-07-22,160.7995,163.5979,160.7995,163.2621,3850689,3850689,3.0783,1.922,162.7965,"Jul 22, 14",0.05459115255524811
2014-07-23,163.4394,165.3143,162.8937,164.9412,3445183,3445183,1.6791,1.028,164.6487,"Jul 23, 14",0.06543729507243687
2014-07-24,164.9225,165.4076,163.8125,164.4188,2012767,2012767,-0.522379,-0.317,164.5862,"Jul 24, 14",0.062062853496009346
2014-07-25,168.8775,170.3653,167.895,168.0541,2367997,2367997,3.6352,2.211,168.8508,"Jul 25, 14",0.08554506533135935
2014-07-28,163.2435,164.6053,162.9356,164.1296,2303365,2303365,-3.9244,-2.335,163.8541,"Jul 28, 14",0.060194766773377636
2014-07-29,164.3349,165.2116,163.6632,163.7472,3064960,3064960,-0.382457,-0.233,164.3147,"Jul 29, 14",0.05772465486904009
2014-07-30,164.139,165.5569,163.5793,163.9524,2354131,2354131,0.205221,0.125,164.2136,"Jul 30, 14",0.059050143788417934
2014-07-31,162.7211,163.4953,161.1819,161.2566,3797945,3797945,-2.6958,-1.644,162.2609,"Jul 31, 14",0.041636630002557906
2014-08-01,160.7995,161.1539,158.0197,158.8126,3140151,3140151,-2.444,-1.516,159.3097,"Aug 1, 14",0.02584961772692863
2014-08-04,159.1111,160.3424,158.626,160.1558,2103904,2103904,1.3433,0.846,159.5843,"Aug 4, 14",0.03452601498086696
2014-08-05,159.792,160.2305,157.5439,158.0383,2746184,2746184,-2.1175,-1.322,158.4981,"Aug 5, 14",0.020848028690504745
2014-08-06,156.8536,159.3723,156.7324,158.3368,1720708,1720708,0.2985,0.189,158.4971,"Aug 6, 14",0.02277618874135403
