date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,71.3999,71.4447,70.0297,70.2357,7644311,7644311,-1.2358,-1.729,70.4775,"Jun 12, 14",0
2014-06-13,70.2894,70.379,69.6268,69.9133,7971901,7971901,-0.322386,-0.459,69.8697,"Jun 13, 14",-0.004590258230500837
2014-06-16,69.8148,70.8268,69.8148,70.6566,7171923,7171923,0.74328,1.063,70.5997,"Jun 16, 14",0.005992678936780059
2014-06-17,70.6029,72.0536,70.5044,71.6596,9587295,9587295,1.003,1.42,71.5279,"Jun 17, 14",0.020273165925590596
2014-06-18,71.6685,72.3223,71.4536,72.2775,8071483,8071483,0.617911,0.862,71.9719,"Jun 18, 14",0.029070686274928696
2014-06-19,72.2775,72.4029,71.5969,72.0357,5095449,5095449,-0.241789,-0.335,71.9687,"Jun 19, 14",0.025627992602052965
2014-06-20,72.2596,72.3581,71.5163,71.7939,13661014,13661014,-0.241791,-0.336,71.98,"Jun 20, 14",0.022185298929177037
2014-06-23,71.785,72.3581,71.6148,72.2148,4920429,4920429,0.420895,0.586,72.1672,"Jun 23, 14",0.028177977865957094
2014-06-24,71.982,72.385,71.4894,72.0268,5579388,5579388,-0.18806,-0.26,72.0772,"Jun 24, 14",0.025501276416409323
2014-06-25,71.9641,72.1879,71.7491,72.1163,4486434,4486434,0.089551,0.124,72.0273,"Jun 25, 14",0.026775557159678075
2014-06-26,72.0447,72.5103,71.7491,72.3133,5165279,5165279,0.197016,0.273,72.2396,"Jun 26, 14",0.029580398572236113
2014-06-27,72.2238,72.9581,72.2059,72.6536,5011045,5011045,0.340295,0.471,74.1141,"Jun 27, 14",0.03442551295139086
2014-06-30,72.5551,72.7432,72.0715,72.5014,5046410,5046410,-0.152236,-0.21,72.7247,"Jun 30, 14",0.032258523799150715
2014-07-01,72.8238,73.4059,72.7342,73.2715,5234564,5234564,0.770146,1.062,73.1747,"Jul 1, 14",0.043223033300728964
2014-07-02,73.2894,73.5939,73.0924,73.4148,4185721,4185721,0.143285,0.196,73.3753,"Jul 2, 14",0.04526330626732567
2014-07-03,73.4954,73.7462,73.2536,73.4775,2764040,2764040,0.062686,0.085,73.4659,"Jul 3, 14",0.04615601467629727
2014-07-07,73.1909,73.5133,72.6626,72.9133,6071028,6071028,-0.564178,-0.768,73.0647,"Jul 7, 14",0.038123062772920505
2014-07-08,72.9133,73.0118,72.1342,72.3223,7322936,7322936,-0.591043,-0.811,72.3928,"Jul 8, 14",0.02970853853524638
2014-07-09,72.6357,72.7432,71.7984,72.2954,6981406,6981406,-0.026868,-0.037,72.2237,"Jul 9, 14",0.029325542423582405
2014-07-10,70.7909,71.2656,69.8059,71.1044,11532172,11532172,-1.191,-1.647,70.8404,"Jul 10, 14",0.012368353985224097
2014-07-11,71.2745,71.5521,70.9342,71.2924,4746427,4746427,0.188061,0.264,71.2101,"Jul 11, 14",0.015045055434771868
2014-07-14,71.57,71.6954,70.9163,71.1581,7657313,7657313,-0.134332,-0.188,71.2013,"Jul 14, 14",0.013132922431185428
2014-07-15,71.1939,71.6954,71.1223,71.5163,6052321,6052321,0.358209,0.503,71.4911,"Jul 15, 14",0.01823289295899389
2014-07-16,71.6775,71.8566,71.0865,71.3372,9033661,9033661,-0.179106,-0.25,71.3247,"Jul 16, 14",0.015682907695089558
2014-07-17,71.4626,71.8924,71.1491,71.7133,5323227,5323227,0.376123,0.527,71.6353,"Jul 17, 14",0.021037734371551927
2014-07-18,71.4626,71.8924,71.1491,71.7133,5323239,5323239,0,0,71.6353,"Jul 18, 14",0.021037734371551927
2014-07-21,71.6506,71.6685,71.2163,71.382,4112787,4112787,-0.331346,-0.462,71.404,"Jul 21, 14",0.016320759955407448
2014-07-22,71.9641,72.3133,71.8208,72.1253,6336102,6336102,0.743284,1.041,72.1688,"Jul 22, 14",0.026903697122688343
2014-07-23,72.0536,72.6178,71.8297,72.5551,3676298,3676298,0.429851,0.596,72.3757,"Jul 23, 14",0.033023092245111844
2014-07-24,72.7073,73.0208,72.4387,72.7163,4359832,4359832,0.161192,0.222,72.7175,"Jul 24, 14",0.035318221360362466
2014-07-25,72.6268,72.8059,72.4387,72.5641,4680707,4680707,-0.152239,-0.209,72.5521,"Jul 25, 14",0.03315123220812211
2014-07-28,72.7163,72.8417,72.2327,72.5999,3441590,3441590,0.035821,0.049,72.5702,"Jul 28, 14",0.03366094450542973
2014-07-29,72.7253,73.2626,72.4387,72.5193,4537437,4537437,-0.080597,-0.111,72.8322,"Jul 29, 14",0.03251337994780442
2014-07-30,72.985,73.2984,72.5999,73.2178,5808459,5808459,0.698506,0.963,72.9443,"Jul 30, 14",0.04245846485476763
2014-07-31,72.6178,73.0566,72.4029,72.4029,5749154,5749154,-0.814922,-1.113,72.6296,"Jul 31, 14",0.030856103092871692
2014-08-01,72.1432,72.6088,71.4088,71.4178,8708569,8708569,-0.985073,-1.361,71.7488,"Aug 1, 14",0.016830472252714865
2014-08-04,71.373,71.8656,71.3372,71.6685,7025005,7025005,0.250746,0.351,71.5518,"Aug 4, 14",0.020399882111234037
2014-08-05,71.4447,72.4118,71.4447,71.6685,5895525,5895525,0,0,71.9203,"Aug 5, 14",0.020399882111234037
2014-08-06,71.5879,72.5551,71.5074,72.1073,4228246,4228246,0.438804,0.612,72.1649,"Aug 6, 14",0.026647417196667807
2014-08-07,72.3133,72.5999,71.9014,72.0626,4045922,4045922,-0.044777,-0.062,72.2205,"Aug 7, 14",0.026010988713716945
2014-08-08,72.5999,73.8447,72.4297,73.8178,7226693,7226693,1.7552,2.436,73.4892,"Aug 8, 14",0.05100112905545202
2014-08-11,73.979,74.3909,73.8805,74.2208,3952040,3952040,0.402984,0.546,74.1935,"Aug 11, 14",0.05673895184357817
2014-08-12,74.1044,74.4088,74.0417,74.2566,3657210,3657210,0.035819,0.048,74.2449,"Aug 12, 14",0.05724866414088579
2014-08-13,74.3103,74.673,74.0954,74.4357,4498701,4498701,0.179107,0.241,74.3768,"Aug 13, 14",0.05979864940478992
2014-08-14,74.4088,75.1924,74.0954,75.0984,4922998,4922998,0.662684,0.89,74.7553,"Aug 14, 14",0.0692340220144457
2014-08-15,75.2551,75.3044,74.1894,74.9462,5383543,5383543,-0.152237,-0.203,74.8483,"Aug 15, 14",0.06706703286220556
2014-08-18,75.4118,75.779,74.5906,74.8566,9481596,9481596,-0.089553,-0.119,75.0933,"Aug 18, 14",0.06579132834156998
2014-08-19,77.8208,79.6924,77.5253,79.0118,18244640,18244640,4.1552,5.551,78.7465,"Aug 19, 14",0.12495212548604201
2014-08-20,78.9581,81.5551,78.8775,81.2685,13399352,13399352,2.2567,2.856,80.7705,"Aug 20, 14",0.15708250932218246
2014-08-21,81.2058,82.216,81.1969,81.6267,8316018,8316018,0.358209,0.441,81.6229,"Aug 21, 14",0.1621824798499909
2014-08-22,81.2596,81.7879,81.179,81.5193,6940088,6940088,-0.107465,-0.132,81.438,"Aug 22, 14",0.16065334295806843
2014-08-25,81.7163,82.2267,81.4476,81.6715,7328730,7328730,0.152241,0.187,81.8068,"Aug 25, 14",0.1628203321103086
2014-08-26,81.4745,82.2357,81.4029,82.0566,5397060,5397060,0.38507,0.471,81.9386,"Aug 26, 14",0.16830329874978123
2014-08-27,82.1014,82.3521,81.7709,82.2715,4321230,4321230,0.214928,0.262,82.1401,"Aug 27, 14",0.17136299631099297
2014-08-28,81.8506,83.0417,81.7342,82.8446,7575902,7575902,0.573132,0.697,82.6719,"Aug 28, 14",0.1795226644000132
2014-08-29,83.0506,83.7491,82.9342,83.7312,7673516,7673516,0.886569,1.07,83.442,"Aug 29, 14",0.192145874533891
2014-09-02,83.7402,83.9832,80.8691,82.0391,20753212,20753212,-1.6921,-2.021,82.2362,"Sep 2, 14",0.16805413771059463
2014-09-03,82.0031,82.1832,80.086,80.104,15413898,15413898,-1.9351,-2.359,81.0861,"Sep 3, 14",0.140502621886021
2014-09-04,80.104,81.6791,80.104,80.9411,8453181,8453181,0.837042,1.045,81.0924,"Sep 4, 14",0.15242106222334242
2014-09-05,80.6981,82.4802,80.3569,82.4532,7748251,7748251,1.5121,1.868,81.8135,"Sep 5, 14",0.1739499997864334
2014-09-08,82.2462,82.6062,81.5171,81.7421,4888298,4888298,-0.71104,-0.862,81.9324,"Sep 8, 14",0.16382551893125577
2014-09-09,81.1931,81.3011,79.9015,80.041,8105284,8105284,-1.7011,-2.081,80.5225,"Sep 9, 14",0.13960564214494914
2014-09-10,79.798,80.4641,79.501,80.3291,6245512,6245512,0.288014,0.36,79.983,"Sep 10, 14",0.14370754473864436
2014-09-11,80.1671,80.4821,79.762,80.3021,4538983,4538983,-0.027004,-0.034,80.1864,"Sep 11, 14",0.14332312484961354
2014-09-12,80.4461,80.5541,79.618,79.96,4593705,4593705,-0.342014,-0.426,79.9638,"Sep 12, 14",0.1384523824778567
2014-09-15,80.2661,80.5901,79.744,80.4461,3935032,3935032,0.486023,0.608,80.3701,"Sep 15, 14",0.14537336425777786
2014-09-16,80.3471,81.6701,79.681,81.2471,5045237,5045237,0.801041,0.996,81.0498,"Sep 16, 14",0.15677782096569137
2014-09-17,81.5711,82.3902,80.9501,82.1022,7068839,7068839,0.855044,1.052,81.9391,"Sep 17, 14",0.16895254122903314
2014-09-18,82.6512,83.2002,82.0841,82.8852,6027690,6027690,0.783038,0.954,82.825,"Sep 18, 14",0.18010071801092614
2014-09-19,83.5692,84.3793,82.9842,83.1102,12498834,12498834,0.225011,0.271,83.5057,"Sep 19, 14",0.18330421708618286
2014-09-22,82.7862,83.1822,82.5162,82.7052,5209196,5209196,-0.405019,-0.487,82.8003,"Sep 22, 14",0.17753791875072095
2014-09-23,82.6152,83.0022,82.3092,82.3452,6330068,6330068,-0.36002,-0.435,82.6516,"Sep 23, 14",0.1724123202303104
2014-09-24,82.5162,83.8032,82.2192,83.7222,6382807,6382807,1.3771,1.672,83.2076,"Sep 24, 14",0.19201773457088073
2014-09-25,83.5242,83.7042,82.3992,82.7142,4972116,4972116,-1.0081,-1.204,82.8323,"Sep 25, 14",0.17766605871373123
2014-09-26,83.0652,83.7042,82.6242,83.5602,4572090,4572090,0.846043,1.023,83.2241,"Sep 26, 14",0.1897112152366959
2014-09-29,83.1372,83.8572,82.7592,83.5962,3894623,3894623,0.036001,0.043,83.4472,"Sep 29, 14",0.19022377508873697
2014-09-30,83.7312,83.8932,82.2642,82.5702,6775101,6775101,-1.0261,-1.227,83.0081,"Sep 30, 14",0.1756158193055669
2014-10-01,82.9302,83.1102,81.8321,81.9221,5970715,5970715,-0.648031,-0.785,82.3361,"Oct 1, 14",0.16638831819146113
2014-10-02,82.1832,83.2182,81.9671,83.0202,5991202,5991202,1.0981,1.34,82.6038,"Oct 2, 14",0.18202281745608015
2014-10-03,83.2722,84.3163,83.1057,84.1903,6210091,6210091,1.1701,1.409,83.8977,"Oct 3, 14",0.19868243642478114
