date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,151.216,151.274,149.915,150.1719,4425491,4425491,-0.853532,-0.565,150.4115,"Jun 12, 14",0
2014-06-13,150.8182,151.6469,150.4205,151.2823,2778984,2778984,1.1104,0.739,151.1269,"Jun 13, 14",0.007394192921578528
2014-06-16,151.1497,151.4066,150.1843,151.1083,3556218,3556218,-0.174022,-0.115,150.8908,"Jun 16, 14",0.006235520759875985
2014-06-17,150.7354,151.4895,150.4536,151.0337,2460857,2460857,-0.074581,-0.049,152.7856,"Jun 17, 14",0.005738756718134462
2014-06-18,150.8514,152.1524,150.6442,152.1441,3935653,3935653,1.1104,0.735,151.424,"Jun 18, 14",0.01313294963971299
2014-06-19,152.575,152.8651,151.1133,151.4978,3551276,3551276,-0.646363,-0.425,151.7962,"Jun 19, 14",0.008829215052882854
2014-06-20,151.3072,151.3735,150.321,150.4453,10686834,10686834,-1.0524,-0.695,151.2065,"Jun 20, 14",0.0018205802816639426
2014-06-23,150.752,151.0254,149.9896,150.9343,3231699,3231699,0.488914,0.325,150.5789,"Jun 23, 14",0.0050768485981732515
2014-06-24,150.4039,151.6469,149.6995,149.8901,3875453,3875453,-1.0441,-0.692,150.5467,"Jun 24, 14",-0.001876516179125416
2014-06-25,149.3681,149.9647,149.2106,149.7575,2763020,2763020,-0.132588,-0.088,149.647,"Jun 25, 14",-0.0027595042747677865
2014-06-26,149.8818,150.2962,148.556,149.4675,3258470,3258470,-0.290036,-0.194,149.4112,"Jun 26, 14",-0.004690624544272215
2014-06-27,148.9703,151.1994,148.8792,150.5779,4575680,4575680,1.1104,0.743,154.214,"Jun 27, 14",0.0027035683773063133
2014-06-30,150.263,150.7602,149.3764,150.2133,4228836,4228836,-0.364617,-0.242,150.5121,"Jun 30, 14",0.00027568406606036215
2014-07-01,150.5696,155.1853,150.5696,154.423,6644363,6644363,4.2096,2.802,154.0059,"Jul 1, 14",0.028308225440312123
2014-07-02,154.4147,156.6107,154.2738,156.1135,5097199,5097199,1.6905,1.095,155.9784,"Jul 2, 14",0.03956532480444074
2014-07-03,156.1135,156.4582,155.2516,156.2295,2422363,2422363,0.116013,0.074,156.0359,"Jul 3, 14",0.04033777291224262
2014-07-07,155.4671,156.014,155.3262,155.8234,2958947,2958947,-0.406049,-0.26,157.5525,"Jul 7, 14",0.03763353863139508
2014-07-08,155.5002,155.8566,154.4395,155.1439,3135115,3135115,-0.67951,-0.436,155.181,"Jul 8, 14",0.03310872406888379
2014-07-09,155.5251,156.5361,154.8705,156.1383,3309559,3309559,0.994405,0.641,156.0284,"Jul 9, 14",0.03973046888266043
2014-07-10,154.4975,155.8317,154.307,155.5417,3177816,3177816,-0.596643,-0.382,155.1147,"Jul 10, 14",0.0357576883558109
2014-07-11,155.5665,156.0803,154.7171,155.7903,2403840,2403840,0.248602,0.16,155.5858,"Jul 11, 14",0.03741312455925515
2014-07-14,156.246,157.8122,156.2295,157.3316,4502202,4502202,1.5413,0.989,157.4047,"Jul 14, 14",0.04767669583990091
2014-07-15,157.0664,157.5139,155.9643,156.1963,4873452,4873452,-1.1353,-0.722,156.4569,"Jul 15, 14",0.04011669293656146
2014-07-16,159.3038,160.232,158.0774,159.4033,7815648,7815648,3.207,2.053,159.34,"Jul 16, 14",0.06147221950311615
2014-07-17,159.4033,162.3782,159.105,159.511,8872269,8872269,0.107728,0.068,160.6226,"Jul 17, 14",0.062189397616997606
2014-07-18,159.0718,160.2982,157.4476,159.5193,8169325,8169325,0.008287,0.005,158.9539,"Jul 18, 14",0.06224466761091785
2014-07-21,158.5249,158.8564,156.8261,158.152,4154740,4154740,-1.3673,-0.857,157.9164,"Jul 21, 14",0.05313976849197482
2014-07-22,158.7652,161.3589,158.7403,160.8369,4853041,4853041,2.6849,1.698,160.5416,"Jul 22, 14",0.07101861266988045
2014-07-23,160.8535,161.5081,160.406,160.4557,3584465,3584465,-0.38119,-0.237,160.8883,"Jul 23, 14",0.06848018837079382
2014-07-24,160.7209,162.1048,160.5551,161.7899,3612656,3612656,1.3342,0.831,161.6605,"Jul 24, 14",0.07736467341759674
2014-07-25,161.8396,162.3368,160.5884,161.0938,3376455,3376455,-0.696085,-0.43,161.3721,"Jul 25, 14",0.07272931886724476
2014-07-28,161.0109,162.7511,160.4723,162.2373,3242443,3242443,1.1436,0.71,161.8905,"Jul 28, 14",0.08034392586096341
2014-07-29,161.8396,162.3285,161.2098,161.2346,3264409,3264409,-1.0027,-0.618,161.7627,"Jul 29, 14",0.07366691105326634
2014-07-30,161.7567,162.4114,159.8508,160.7623,3945601,3945601,-0.472342,-0.293,160.8868,"Jul 30, 14",0.07052184862813893
2014-07-31,159.801,161.0026,158.7238,158.8315,4208005,4208005,-1.9308,-1.201,159.5814,"Jul 31, 14",0.0576645830544863
2014-08-01,157.862,158.6906,156.5029,156.7432,5181080,5181080,-2.0883,-1.315,157.0592,"Aug 1, 14",0.04375851940343039
2014-08-04,156.909,157.4062,156.2875,157.1493,2125935,2125935,0.406048,0.259,156.9248,"Aug 4, 14",0.046462753684277935
2014-08-05,156.4118,156.7814,154.4975,155.0445,3307945,3307945,-2.1048,-1.339,155.3958,"Aug 5, 14",0.032446815948922576
2014-08-06,154.511,155.778,153.7441,155.0194,3847046,3847046,-0.025039,-0.016,154.945,"Aug 6, 14",0.032279674160079194
2014-08-07,155.5779,155.6113,153.0272,153.6274,2708935,2708935,-1.3921,-0.898,153.8517,"Aug 7, 14",0.02301029686645771
