date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,24.2102,24.4187,24.1319,24.2971,31211438,31211438,0.026067,0.107,24.5433,"Jun 12, 14",0
2014-06-13,25.8526,26.1219,25.6874,25.9568,122194302,122194302,1.6598,6.831,25.9688,"Jun 13, 14",0.06830856357343061
2014-06-16,25.8265,26.2001,25.783,26.0785,36407788,36407788,0.121659,0.469,26.0398,"Jun 16, 14",0.07331739178749719
2014-06-17,25.9655,26.1567,25.9308,26.0263,28441218,28441218,-0.052143,-0.2,26.0637,"Jun 17, 14",0.07116898724539138
2014-06-18,25.9655,26.0524,25.783,26.009,34412750,34412750,-0.017377,-0.067,25.9307,"Jun 18, 14",0.07045696811553642
2014-06-19,26.0437,26.148,25.9742,26.148,27166851,27166851,0.13904,0.535,26.0722,"Jun 19, 14",0.07617781545945809
2014-06-20,26.1306,26.2436,26.0959,26.2436,39829862,39829862,0.095589,0.366,26.196,"Jun 20, 14",0.08011244140247191
2014-06-23,26.1567,26.3392,25.9395,26.2697,26529643,26529643,0.026071,0.099,26.2364,"Jun 23, 14",0.08118664367352482
2014-06-24,26.2088,26.7911,26.148,26.5043,53398112,53398112,0.234627,0.893,26.6019,"Jun 24, 14",0.09084211696046031
2014-06-25,26.4869,26.9388,26.4565,26.8345,44294569,44294569,0.330216,1.246,26.7621,"Jun 25, 14",0.10443221619040947
2014-06-26,26.7737,26.8519,26.5999,26.7476,26728433,26728433,-0.086898,-0.324,26.7186,"Jun 26, 14",0.10085565767108001
2014-06-27,26.8258,26.9388,26.6781,26.878,30776510,30776510,0.130349,0.487,28.1714,"Jun 27, 14",0.10622255330883108
2014-06-30,26.8258,26.9388,26.6433,26.8519,21562544,21562544,-0.026069,-0.097,26.8908,"Jun 30, 14",0.10514835103777817
2014-07-01,26.9301,27.017,26.8258,26.9214,28240458,28240458,0.069519,0.259,26.9185,"Jul 1, 14",0.10800877470973894
2014-07-02,26.9301,26.9822,26.765,26.9214,16831171,16831171,0,0,26.8647,"Jul 2, 14",0.10800877470973894
2014-07-03,27.0083,27.2515,26.9562,27.0605,20437633,20437633,0.139037,0.516,27.0593,"Jul 3, 14",0.11373373777117436
2014-07-07,27.017,27.1126,26.8693,26.9649,22237033,22237033,-0.095587,-0.353,26.9571,"Jul 7, 14",0.10979911182816054
2014-07-08,26.9388,27.0083,26.6781,26.7563,37614506,37614506,-0.208559,-0.773,26.8143,"Jul 8, 14",0.10121372509476435
2014-07-09,26.7998,26.9214,26.6694,26.8432,28302427,28302427,0.0869,0.325,26.8077,"Jul 9, 14",0.10479028361409383
2014-07-10,26.5912,27.2256,26.4522,27.1647,32458765,32458765,0.321526,1.198,26.9832,"Jul 10, 14",0.11802231542035879
2014-07-11,27.1647,27.3298,26.9736,27.156,20053217,20053217,-0.008687,-0.032,27.1219,"Jul 11, 14",0.11766424799667444
2014-07-14,27.2951,27.4385,27.2343,27.3646,24251533,24251533,0.208557,0.768,27.3334,"Jul 14, 14",0.12624963473007061
2014-07-15,27.4428,27.634,27.0778,27.5558,61218169,61218169,0.191179,0.699,27.4439,"Jul 15, 14",0.13411888661609825
2014-07-16,28.9462,30.1888,28.8593,30.1106,135893228,135893228,2.5548,9.272,29.538,"Jul 16, 14",0.23926723765387645
2014-07-17,29.7196,29.8586,29.2242,29.2851,70591117,70591117,-0.825546,-2.742,29.517,"Jul 17, 14",0.20529198957900324
2014-07-18,29.372,29.4067,29.0157,29.2851,46530079,46530079,0,0,29.263,"Jul 18, 14",0.20529198957900324
2014-07-21,29.1547,29.7456,29.146,29.5979,32097230,32097230,0.31284,1.068,29.5465,"Jul 21, 14",0.21816595396158384
2014-07-22,29.6848,30.267,29.6066,30.2324,42920550,42920550,0.634453,2.144,30.0711,"Jul 22, 14",0.2442801815854566
2014-07-23,30.1367,30.1628,29.8065,29.9803,26078170,26078170,-0.252096,-0.834,29.9476,"Jul 23, 14",0.23390445773363897
2014-07-24,29.876,30.1323,29.637,29.763,33180903,33180903,-0.217248,-0.725,29.8058,"Jul 24, 14",0.22496100357655857
2014-07-25,29.6761,29.8673,29.4849,29.763,31614014,31614014,0,0,29.7002,"Jul 25, 14",0.22496100357655857
2014-07-28,29.7456,29.8239,29.4415,29.7456,30975052,30975052,-0.01738,-0.058,29.6439,"Jul 28, 14",0.22424486872918986
2014-07-29,29.7804,29.8673,29.624,29.7109,26143454,26143454,-0.034762,-0.117,29.7471,"Jul 29, 14",0.2228167147519662
2014-07-30,29.8152,30.0411,29.5805,29.8499,32788878,32788878,0.139041,0.468,29.7826,"Jul 30, 14",0.22853756209588805
2014-07-31,29.624,29.763,29.3807,29.4502,35432286,35432286,-0.399738,-1.339,29.5353,"Jul 31, 14",0.2120870391939778
2014-08-01,29.3285,29.5718,29.2069,29.3242,33472580,33472580,-0.126003,-0.428,29.3505,"Aug 1, 14",0.20690123512682587
2014-08-04,29.3633,29.624,29.1547,29.5892,27250118,27250118,0.265043,0.904,29.4219,"Aug 4, 14",0.21780788653789965
2014-08-05,29.5324,29.5499,28.5133,28.7101,49851005,49851005,-0.879147,-2.971,28.9038,"Aug 5, 14",0.18162661387573004
2014-08-06,28.5176,29.0337,28.3339,28.7319,27924094,27924094,0.021873,0.076,28.8216,"Aug 6, 14",0.18252384029369756
2014-08-07,28.8063,28.9988,28.4651,28.5876,27823411,27823411,-0.144342,-0.502,28.6994,"Aug 7, 14",0.17658485992155434
2014-08-08,28.6751,28.8675,28.4651,28.5176,35489572,35489572,-0.06998,-0.245,28.6117,"Aug 8, 14",0.17370385766202556
2014-08-11,28.7101,29.0775,28.7013,28.885,27723925,27723925,0.367404,1.288,28.9177,"Aug 11, 14",0.18882500380703876
2014-08-12,28.7888,28.9988,28.5876,28.9813,24814652,24814652,0.096226,0.333,28.8035,"Aug 12, 14",0.19278843977264778
2014-08-13,29.0775,29.8735,29.0687,29.8298,36250868,36250868,0.848531,2.928,29.5782,"Aug 13, 14",0.22771030287565175
2014-08-14,29.786,29.9435,29.5149,29.6898,25457954,25457954,-0.139966,-0.469,29.6878,"Aug 14, 14",0.22194829835659405
2014-08-15,29.8298,29.926,29.4929,29.891,28582224,28582224,0.201201,0.678,29.7804,"Aug 15, 14",0.23022912199398274
2014-08-18,29.9698,30.1535,29.7204,30.101,27233549,27233549,0.209945,0.702,30.0181,"Aug 18, 14",0.2388721287725695
2014-08-19,30.1797,30.1797,29.961,30.0397,29283445,29283445,-0.061236,-0.203,30.0612,"Aug 19, 14",0.23634919393672493
2014-08-20,29.9435,30.1884,29.8998,30.1797,27142650,27142650,0.139965,0.466,30.1205,"Aug 20, 14",0.2421111984557828
2014-08-21,30.1447,30.7833,30.136,30.7483,37164868,37164868,0.568604,1.884,30.5662,"Aug 21, 14",0.2655131682381848
2014-08-22,30.792,30.792,30.5384,30.5646,21197845,21197845,-0.183702,-0.597,30.6435,"Aug 22, 14",0.25795259516567814
2014-08-25,30.6958,30.7483,30.3109,30.4509,18614486,18614486,-0.113721,-0.372,30.4953,"Aug 25, 14",0.25327302435270055
2014-08-26,30.4334,30.6608,30.3459,30.4421,19664736,19664736,-0.008746,-0.029,30.4531,"Aug 26, 14",0.2529108412115026
2014-08-27,30.5209,30.5646,30.2934,30.4334,17168931,17168931,-0.008751,-0.029,30.4043,"Aug 27, 14",0.2525527737878182
2014-08-28,30.2759,30.4509,30.2759,30.3109,18908864,18908864,-0.122466,-0.402,30.3338,"Aug 28, 14",0.24751101983364268
2014-08-29,30.4509,30.5602,30.3284,30.5471,32305331,32305331,0.236186,0.779,30.4797,"Aug 29, 14",0.25723234460079597
2014-09-02,30.4071,30.5384,30.1193,30.2409,32095584,32095584,-0.306169,-1.002,30.2308,"Sep 2, 14",0.24463001757411376
2014-09-03,30.4596,30.5121,30.136,30.2409,26668973,26668973,0,0,30.3143,"Sep 3, 14",0.24463001757411376
2014-09-04,30.2059,30.6958,30.1972,30.534,27633583,27633583,0.293048,0.969,30.5216,"Sep 4, 14",0.25669318560651266
2014-09-05,30.5471,30.7221,30.4684,30.6171,20842220,20842220,0.083106,0.272,30.6116,"Sep 5, 14",0.2601133468603249
2014-09-08,30.5821,31.107,30.5121,30.9058,24860766,24860766,0.288675,0.943,30.8747,"Sep 8, 14",0.27199542332212484
2014-09-09,30.8708,30.8708,30.4859,30.5384,22334672,22334672,-0.367406,-1.189,30.6225,"Sep 9, 14",0.25687427717711164
2014-09-10,30.4859,30.7308,30.3284,30.6346,19964378,19964378,0.096221,0.315,30.5837,"Sep 10, 14",0.26083359742520706
2014-09-11,30.4334,30.6346,30.2059,30.6346,21958239,21958239,0,0,30.4633,"Sep 11, 14",0.26083359742520706
2014-09-12,30.5296,30.5384,30.1797,30.2847,26733700,26733700,-0.349907,-1.142,30.34,"Sep 12, 14",0.24643270184507618
2014-09-15,30.3634,30.4159,29.9435,30.2147,22438275,22438275,-0.069982,-0.231,30.1547,"Sep 15, 14",0.24355169958554726
2014-09-16,30.1535,30.6871,30.1535,30.5558,20878492,20878492,0.341161,1.129,30.5053,"Sep 16, 14",0.25759041202448035
2014-09-17,30.5384,30.792,30.3896,30.5996,26278958,26278958,0.043739,0.143,30.5885,"Sep 17, 14",0.2593930962954426
2014-09-18,30.7221,30.7658,30.4946,30.7658,23815486,23815486,0.166211,0.543,30.6331,"Sep 18, 14",0.26623341880306695
2014-09-19,30.757,30.8095,30.4596,30.4596,46860142,46860142,-0.306174,-0.995,30.6278,"Sep 19, 14",0.25363109177638476
2014-09-22,30.4246,30.6433,30.2234,30.3634,25448163,25448163,-0.096223,-0.316,30.4334,"Sep 22, 14",0.24967177152828932
2014-09-23,30.3634,30.3634,30.0747,30.1097,25691469,25691469,-0.253684,-0.835,30.1948,"Sep 23, 14",0.23923019619625385
2014-09-24,30.0878,30.4859,30.066,30.3984,18829270,18829270,0.288675,0.959,30.3342,"Sep 24, 14",0.25111227265805375
2014-09-25,30.3372,30.4334,29.6373,29.8648,34644687,34644687,-0.533612,-1.755,29.886,"Sep 25, 14",0.2291508040054162
2014-09-26,29.9698,30.0572,29.4186,29.9698,25883498,25883498,0.104973,0.351,29.79,"Sep 26, 14",0.23347230739470962
2014-09-29,29.7948,30.6083,29.6898,30.5296,29003106,29003106,0.559855,1.868,30.3632,"Sep 29, 14",0.2565120940359137
