date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,90.0459,90.0721,89.4612,89.4787,5935011,5935011,-0.689437,-0.765,89.5721,"Jun 12, 14",0
2014-06-13,89.4612,89.5834,89.1645,89.4787,4302188,4302188,0,0,89.4077,"Jun 13, 14",0
2014-06-16,89.47,89.7929,88.8765,89.4089,5645516,5645516,-0.069817,-0.078,89.4067,"Jun 16, 14",-0.000780073917032777
2014-06-17,89.1296,89.1907,88.4751,88.9551,4835591,4835591,-0.453809,-0.508,88.8206,"Jun 17, 14",-0.005851671962154142
2014-06-18,88.9376,89.7405,88.8942,89.723,5449119,5449119,0.767983,0.863,89.3121,"Jun 18, 14",0.00273025870961464
2014-06-19,89.8278,90.6481,89.723,90.5958,5481511,5481511,0.872709,0.973,90.3317,"Jun 19, 14",0.012484535425749295
2014-06-20,91.0845,92.0532,90.8227,91.8699,12464629,12464629,1.2742,1.406,91.7021,"Jun 20, 14",0.026723678372618263
2014-06-23,91.5557,91.739,91.1456,91.4161,6066848,6066848,-0.453809,-0.494,91.4224,"Jun 23, 14",0.0216520803274969
2014-06-24,91.3114,91.835,91.2416,91.2765,5915291,5915291,-0.139634,-0.153,91.4875,"Jun 24, 14",0.020091932493431344
2014-06-25,90.9623,92.3935,90.9623,92.2975,6411062,6411062,1.0211,1.119,92.079,"Jun 25, 14",0.03150246930275022
2014-06-26,92.3673,92.4808,91.6605,92.2015,5106917,5106917,-0.095998,-0.104,92.1009,"Jun 26, 14",0.03042958827072803
2014-06-27,92.0444,92.1492,91.1543,91.6255,6462995,6462995,-0.575986,-0.625,95.5508,"Jun 27, 14",0.023992302078595228
2014-06-30,92.1754,92.507,91.2154,91.3026,6944226,6944226,-0.322902,-0.352,91.8459,"Jun 30, 14",0.02038362202401236
2014-07-01,91.7652,92.507,91.6255,92.3935,5133942,5133942,1.0909,1.195,92.2372,"Jul 1, 14",0.03257535033477241
2014-07-02,92.2452,92.4808,91.8917,92.3848,3764939,3764939,-0.008728,-0.009,92.2671,"Jul 2, 14",0.03247812049124534
2014-07-03,92.3935,92.7252,91.7303,92.0008,4199082,4199082,-0.383991,-0.416,92.1642,"Jul 3, 14",0.02818659636315676
2014-07-07,92.0008,93.1528,91.8699,92.9172,7018503,7018503,0.916345,0.996,92.8079,"Jul 7, 14",0.03842813988133478
2014-07-08,92.6903,92.7252,92.0881,92.2626,6268373,6268373,-0.654531,-0.704,92.2989,"Jul 8, 14",0.031112432344233908
2014-07-09,92.507,92.6903,92.2626,92.5419,5721371,5721371,0.279264,0.303,92.5621,"Jul 9, 14",0.03423384559677325
2014-07-10,91.7041,92.507,91.2154,92.3324,4955123,4955123,-0.209447,-0.226,92.2026,"Jul 10, 14",0.03189250626126668
2014-07-11,92.3673,92.5148,91.5121,91.7215,5464127,5464127,-0.610896,-0.662,91.7401,"Jul 11, 14",0.025065183110617416
2014-07-14,91.9659,92.0619,91.7303,91.9659,7786696,7786696,0.244359,0.266,91.9249,"Jul 14, 14",0.027796559404640448
2014-07-15,91.835,92.0444,89.6881,90.1332,14224802,14224802,-1.8327,-1.993,90.3912,"Jul 15, 14",0.007314589952692638
2014-07-16,90.3514,90.4736,88.9725,89.2081,11947879,11947879,-0.92507,-1.026,89.327,"Jul 16, 14",-0.0030241834090124434
2014-07-17,88.9289,89.1034,87.4976,87.5936,11226538,11226538,-1.6145,-1.81,88.2588,"Jul 17, 14",-0.02106758368192663
2014-07-18,87.8555,88.9812,87.5936,88.8416,8408731,8408731,1.248,1.425,88.3389,"Jul 18, 14",-0.00712013026563868
2014-07-21,88.5274,88.6496,88.1609,88.3791,6386413,6386413,-0.462537,-0.521,88.3718,"Jul 21, 14",-0.012288958154287103
2014-07-22,88.9376,89.4874,88.8242,89.4263,6554213,6554213,1.0473,1.185,89.3206,"Jul 22, 14",-0.0005856142299788192
2014-07-23,89.7143,89.8278,88.9142,89.182,4815975,4815975,-0.244358,-0.273,89.2404,"Jul 23, 14",-0.0033158729395934596
2014-07-24,89.3129,89.6532,89.0336,89.1907,5177227,5177227,0.008729,0.01,89.1961,"Jul 24, 14",-0.003218643096066401
2014-07-25,89.2518,89.3652,88.8416,89.1121,3952062,3952062,-0.078546,-0.088,89.0356,"Jul 25, 14",-0.00409706444103463
2014-07-28,88.9202,89.3652,88.7194,89.1121,4634905,4634905,0,0,89.0573,"Jul 28, 14",-0.00409706444103463
2014-07-29,89.4089,89.4612,88.7456,88.9812,6058738,6058738,-0.130905,-0.147,89.1092,"Jul 29, 14",-0.005559982431573126
2014-07-30,89.2518,89.758,88.8503,89.278,5995785,5995785,0.296718,0.333,89.2939,"Jul 30, 14",-0.0022429919075712726
2014-07-31,88.8154,88.8765,87.3144,87.3493,9142218,9142218,-1.9287,-2.16,87.9029,"Jul 31, 14",-0.02379784239154127
2014-08-01,87.0613,87.6285,86.2235,87.1835,8610725,8610725,-0.165815,-0.19,87.1496,"Aug 1, 14",-0.025650797340596235
2014-08-04,87.262,87.598,86.6729,87.4104,6790846,6790846,0.226904,0.26,87.1478,"Aug 4, 14",-0.02311499831803555
2014-08-05,87.1224,87.4802,86.878,87.1136,6230883,6230883,-0.296722,-0.339,87.1758,"Aug 5, 14",-0.026431988842037245
2014-08-06,86.9827,87.9951,86.9217,87.8904,7412322,7412322,0.776714,0.892,87.6849,"Aug 6, 14",-0.017750593157924776
2014-08-07,88.222,88.3093,86.9042,87.2096,7417911,7417911,-0.680714,-0.775,87.3799,"Aug 7, 14",-0.025359107810015217
2014-08-08,87.454,88.2744,87.07,88.2133,5619629,5619629,1.0036,1.151,87.8687,"Aug 8, 14",-0.014141913103341909
2014-08-11,88.6845,88.8242,88.1522,88.2831,5706553,5706553,0.069815,0.079,88.3876,"Aug 11, 14",-0.013361839186309132
2014-08-12,88.1434,88.3354,87.5413,87.8205,4577733,4577733,-0.462531,-0.524,87.8487,"Aug 12, 14",-0.018531784659365946
2014-08-13,88.2744,88.9725,88.2744,88.7892,4563668,4563668,0.968705,1.103,88.6891,"Aug 13, 14",-0.007705744495617499
2014-08-14,88.9202,89.0598,88.5798,89.0336,5239445,5239445,0.244358,0.275,88.8759,"Aug 14, 14",-0.004974368201594306
2014-08-15,89.1994,89.4001,87.9689,88.2918,6986145,6986145,-0.7418,-0.833,88.5533,"Aug 15, 14",-0.013264609342782232
2014-08-18,88.9463,89.6445,88.798,89.627,5981073,5981073,1.3352,1.512,89.3592,"Aug 18, 14",0.0016573776775924535
2014-08-19,89.6532,89.8539,89.0336,89.8539,5670017,5670017,0.226904,0.253,89.5668,"Aug 19, 14",0.004193176700153136
2014-08-20,89.7754,90.1507,89.627,90.0721,5183142,5183142,0.218176,0.243,89.9471,"Aug 20, 14",0.006631745879186919
2014-08-21,90.1769,91.1281,90.1769,90.9274,8357633,8357633,0.855254,0.95,90.9496,"Aug 21, 14",0.016190445323859222
2014-08-22,91.0503,91.4018,90.4705,90.5847,5076573,5076573,-0.342703,-0.377,90.8502,"Aug 22, 14",0.012360483556421746
2014-08-25,91.0679,91.2085,90.5759,90.6989,3678216,3678216,0.11422,0.126,90.7485,"Aug 25, 14",0.013636764950764721
