date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,50.0894,50.3966,49.9139,50.0631,11677911,11677911,-0.201868,-0.402,50.152,"Jun 12, 14",0
2014-06-13,50.0543,50.616,49.9227,50.0631,12044435,12044435,0,0,50.2131,"Jun 13, 14",0
2014-06-16,49.8963,49.9841,49.4399,49.9139,11199075,11199075,-0.149208,-0.298,49.7985,"Jun 16, 14",-0.002980238938459673
2014-06-17,49.8437,50.5458,49.7471,50.3966,11200522,11200522,0.482728,0.967,50.3402,"Jun 17, 14",0.0066615930695462485
2014-06-18,50.2825,50.7389,49.9841,50.7126,13737143,13737143,0.315965,0.627,50.3967,"Jun 18, 14",0.012973627282369716
2014-06-19,50.6336,50.6336,50.2123,50.2913,11624383,11624383,-0.421288,-0.831,50.3228,"Jun 19, 14",0.0045582474916655395
2014-06-20,50.6336,50.7038,50.3352,50.5107,17126425,17126425,0.219419,0.436,50.5219,"Jun 20, 14",0.008940716815379019
2014-06-23,50.5019,51.0988,50.2386,51.0724,16009479,16009479,0.561719,1.112,50.8841,"Jun 23, 14",0.020160557376590806
2014-06-24,50.8004,51.011,50.2913,50.3966,12323320,12323320,-0.675815,-1.323,50.6485,"Jun 24, 14",0.0066615930695462485
2014-06-25,50.2211,50.6775,49.9139,50.4932,14843900,14843900,0.096546,0.192,50.3963,"Jun 25, 14",0.008591157958656236
2014-06-26,50.3264,50.4581,49.6769,50.3703,11854621,11854621,-0.122876,-0.243,50.1246,"Jun 26, 14",0.006136256044871407
2014-06-27,50.3176,50.6424,50.2386,50.4932,10178566,10178566,0.122876,0.244,53.6261,"Jun 27, 14",0.008591157958656236
2014-06-30,50.4142,50.7126,50.3615,50.5722,11549859,11549859,0.078988,0.156,50.5467,"Jun 30, 14",0.010169166511862103
2014-07-01,50.5103,51.2527,50.4484,50.8815,14472160,14472160,0.309339,0.612,50.9731,"Jul 1, 14",0.01634736961954022
2014-07-02,50.6163,50.7975,50.2186,50.3512,19199260,19199260,-0.530293,-1.042,50.4327,"Jul 2, 14",0.0057547375212481855
2014-07-03,50.581,50.9522,50.3777,50.4219,12599842,12599842,0.070705,0.14,50.6236,"Jul 3, 14",0.007166955302408406
