date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,34.6187,34.85,34.5845,34.6273,11583569,11583569,-0.115636,-0.333,34.7113,"Jun 12, 14",0
2014-06-13,34.6016,34.7258,34.4817,34.5845,9203771,9203771,-0.042836,-0.124,34.5761,"Jun 13, 14",-0.0012360189792446922
2014-06-16,34.4303,34.9271,34.396,34.8329,12878160,12878160,0.248441,0.718,34.8076,"Jun 16, 14",0.005937511732072787
2014-06-17,35.2784,35.2955,34.7901,35.0556,26927159,26927159,0.222738,0.639,35.0595,"Jun 17, 14",0.012368853476880963
2014-06-18,34.9443,35.6125,34.91,35.6039,18518178,18518178,0.548282,1.564,35.347,"Jun 18, 14",0.028203180727345328
2014-06-19,35.5868,35.8695,35.5782,35.801,13275256,13275256,0.197037,0.553,35.7521,"Jun 19, 14",0.03389522140045582
2014-06-20,35.8695,35.8738,35.5782,35.7153,23403271,23403271,-0.085669,-0.239,35.7817,"Jun 20, 14",0.03142029554715502
2014-06-23,35.5182,35.7581,35.4069,35.7496,13099754,13099754,0.034268,0.096,35.6737,"Jun 23, 14",0.032410843467437625
2014-06-24,35.5696,35.8866,35.5268,35.8524,14962791,14962791,0.102802,0.288,35.7835,"Jun 24, 14",0.03537959933347402
2014-06-25,35.6382,35.9637,35.5182,35.9466,17621843,17621843,0.094237,0.263,35.8158,"Jun 25, 14",0.0380999962457367
2014-06-26,35.9038,36.0237,35.7923,36.0066,16905479,16905479,0.059969,0.167,35.9135,"Jun 26, 14",0.0398327331325284
2014-06-27,35.9723,36.2293,35.9038,36.1436,18674412,18674412,0.137068,0.381,36.8516,"Jun 27, 14",0.04378914902403598
2014-06-30,35.9637,36.4006,35.8267,36.2893,14068762,14068762,0.145638,0.403,36.3667,"Jun 30, 14",0.047996811764128275
2014-07-01,36.315,36.3664,36.1094,36.2293,11497697,11497697,-0.059969,-0.165,36.2435,"Jul 1, 14",0.04626407487733678
2014-07-02,36.2464,36.3321,36.1094,36.2293,6707175,6707175,0,0,36.2078,"Jul 2, 14",0.04626407487733678
2014-07-03,36.2036,36.255,35.9894,36.1779,7537718,7537718,-0.051403,-0.142,36.1285,"Jul 3, 14",0.04477969694431858
2014-07-07,35.9466,36.1522,35.9209,36.1008,9000085,9000085,-0.077103,-0.213,36.0827,"Jul 7, 14",0.04255313004479129
