date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,86.9148,87.4371,86.1617,86.3521,5609115,5609115,-0.571296,-0.657,86.6576,"Jun 12, 14",0
2014-06-13,86.0492,87.0706,86.0492,86.984,4018653,4018653,0.631885,0.732,86.8445,"Jun 13, 14",0.007317714334683253
2014-06-16,86.9234,87.5726,86.7676,87.512,4038584,4038584,0.528018,0.607,87.3309,"Jun 16, 14",0.013432215313814113
2014-06-17,87.3476,88.1526,87.2697,87.6592,6479749,6479749,0.147152,0.168,87.783,"Jun 17, 14",0.01513686407163237
2014-06-18,88.066,88.1093,87.3476,87.7284,5447375,5447375,0.069246,0.079,87.687,"Jun 18, 14",0.015938234275715363
2014-06-19,87.4601,88.317,87.4601,88.2132,3376565,3376565,0.484734,0.553,88.076,"Jun 19, 14",0.021552457902008264
2014-06-20,88.4642,88.5508,87.9968,88.2218,5418106,5418106,0.00866,0.01,88.5894,"Jun 20, 14",0.021652050152804726
2014-06-23,87.9795,88.2824,87.8669,88.2132,2919197,2919197,-0.00866,-0.01,88.1234,"Jun 23, 14",0.021552457902008264
2014-06-24,88.1526,88.4469,87.7804,87.8323,4589622,4589622,-0.380861,-0.432,88.0134,"Jun 24, 14",0.01714144763126792
2014-06-25,87.5034,88.2045,87.4514,87.9535,3662169,3662169,0.121183,0.138,87.9245,"Jun 25, 14",0.018545003537841147
2014-06-26,87.9535,88.1959,87.4861,87.8669,2783202,2783202,-0.086561,-0.098,87.7835,"Jun 26, 14",0.01754213273330942
2014-06-27,87.6419,88.0054,87.5553,87.8236,2785864,2785864,-0.043281,-0.049,89.5935,"Jun 27, 14",0.017040697331043554
2014-06-30,87.6592,87.841,86.9927,87.2004,4270525,4270525,-0.623229,-0.71,87.4312,"Jun 30, 14",0.00982373329658467
2014-07-01,86.9321,87.7371,86.7678,87.4255,3787745,3787745,0.225054,0.258,87.42,"Jul 1, 14",0.012430502558710288
2014-07-02,87.4428,87.4947,86.8628,87.0186,3222376,3222376,-0.406829,-0.465,87.0685,"Jul 2, 14",0.007718399436724914
2014-07-03,87.7025,87.7025,87.2004,87.4082,2295812,2295812,0.389519,0.448,87.4139,"Jul 3, 14",0.012230160007689457
2014-07-07,87.2091,87.2091,86.4041,86.707,3951704,3951704,-0.701138,-0.802,86.6412,"Jul 7, 14",0.004109917419495307
2014-07-08,86.3781,87.0533,86.3262,86.6378,3115055,3115055,-0.069245,-0.08,86.7206,"Jul 8, 14",0.0033085472154123136
2014-07-09,86.8196,87.6419,86.7849,87.4861,5604936,5604936,0.848284,0.979,87.4104,"Jul 9, 14",0.013132280511996818
2014-07-10,86.7503,87.4688,86.6984,87.0619,3274862,3274862,-0.424141,-0.485,87.103,"Jul 10, 14",0.008219834838990614
2014-07-11,87.1312,87.261,86.5858,86.8802,2812462,2812462,-0.181773,-0.209,86.8485,"Jul 11, 14",0.006115659028558763
2014-07-14,87.1571,87.1918,86.8196,86.9667,4163000,4163000,0.086558,0.1,86.9756,"Jul 14, 14",0.007117371783662587
