date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,127.4674,127.4674,125.5591,125.8141,1839500,1839500,-1.1784,-0.928,126.1046,"Jun 12, 14",0
2014-06-13,125.9197,126.4121,125.6031,126.0692,1376210,1376210,0.255024,0.203,129.1358,"Jun 13, 14",0.002027594681359234
2014-06-16,125.691,126.2187,125.4008,126.034,1274286,1274286,-0.035177,-0.028,125.9234,"Jun 16, 14",0.0017478168186237453
2014-06-17,125.7614,126.6232,125.436,126.3594,1209437,1209437,0.325376,0.258,126.2281,"Jun 17, 14",0.004334172401980362
2014-06-18,126.5704,126.9749,125.5503,126.9222,1340743,1340743,0.562806,0.445,126.3158,"Jun 18, 14",0.008807438911854931
2014-06-19,127.0981,127.2651,126.6232,127.0629,1560479,1560479,0.140704,0.111,126.9943,"Jun 19, 14",0.009925755539323516
2014-06-20,127.1068,127.7752,126.8079,127.6521,4204666,4204666,0.589189,0.464,127.7314,"Jun 20, 14",0.01460885544624973
2014-06-23,127.5993,127.7752,126.6408,126.7111,1390232,1390232,-0.940946,-0.737,126.8998,"Jun 23, 14",0.007129566558915142
2014-06-24,126.377,127.1733,125.7966,125.8317,1404566,1404566,-0.87939,-0.694,126.3583,"Jun 24, 14",0.0001398889313678007
2014-06-25,125.7526,126.9661,125.6471,126.3242,1321768,1321768,0.49246,0.391,126.3317,"Jun 25, 14",0.004054394539244874
2014-06-26,126.4121,126.6232,125.3636,126.3945,1490908,1490908,0.070351,0.056,125.9761,"Jun 26, 14",0.004613155441242256
2014-06-27,125.9021,126.6934,125.8076,126.3594,1981763,1981763,-0.035174,-0.028,135.4574,"Jun 27, 14",0.004334172401980362
2014-06-30,126.5616,126.5704,125.8054,125.9636,1878415,1878415,-0.395726,-0.313,126.5269,"Jun 30, 14",0.0011882610931525425
2014-07-01,126.1131,127.3531,126.0868,127.1244,1767594,1767594,1.1608,0.922,127.0133,"Jul 1, 14",0.010414571975637055
2014-07-02,126.8342,127.7752,126.245,127.7136,1621309,1621309,0.589188,0.463,127.423,"Jul 2, 14",0.015097671882563269
2014-07-03,127.7312,128.1533,127.5114,127.8719,1142241,1142241,0.15829,0.124,127.8897,"Jul 3, 14",0.016355877441399654
2014-07-07,127.9335,128.0214,127.0717,127.4322,1257923,1257923,-0.439694,-0.344,127.4441,"Jul 7, 14",0.012861038627625984
2014-07-08,127.7048,127.8631,127.0541,127.1244,1596826,1596826,-0.307784,-0.242,127.3405,"Jul 8, 14",0.010414571975637055
2014-07-09,127.3179,127.5465,126.6584,127.23,1521771,1521771,0.105526,0.083,127.075,"Jul 9, 14",0.01125390556384386
2014-07-10,126.1923,126.8079,125.9614,126.5352,2070061,2070061,-0.694718,-0.546,126.4276,"Jul 10, 14",0.005731472068710955
2014-07-11,126.7551,127.0629,126.2275,126.9046,1907924,1907924,0.369345,0.292,126.6498,"Jul 11, 14",0.00866754998048713
2014-07-14,127.5026,128.1357,127.2915,127.5114,2114592,2114592,0.606776,0.478,127.7315,"Jul 14, 14",0.01349053881878103
2014-07-15,127.5114,127.9335,126.9486,127.5641,1955732,1955732,0.052764,0.041,127.4422,"Jul 15, 14",0.013909410789410727
2014-07-16,127.7576,128.6106,127.5375,128.5403,1971812,1971812,0.976123,0.765,128.2086,"Jul 16, 14",0.021668477539480917
2014-07-17,127.8016,128.1006,126.1483,126.2275,2778988,2778988,-2.3128,-1.799,126.9022,"Jul 17, 14",0.0032858002401957333
2014-07-18,126.4825,127.5641,126.2275,127.3619,2132969,2132969,1.1344,0.899,127.0934,"Jul 18, 14",0.012302277725628601
2014-07-21,127.2124,127.397,126.3242,126.8958,1520875,1520875,-0.466076,-0.366,126.9112,"Jul 21, 14",0.008597605514803174
2014-07-22,127.4146,128.1006,127.4146,127.6169,1608162,1608162,0.721098,0.568,127.7851,"Jul 22, 14",0.014329077583514128
2014-07-23,127.8104,127.905,127.0981,127.23,1849659,1849659,-0.38693,-0.303,127.3687,"Jul 23, 14",0.01125390556384386
2014-07-24,127.9599,128.7689,127.0453,127.6257,2580146,2580146,0.395724,0.311,127.8484,"Jul 24, 14",0.014399022049197973
2014-07-25,128.0918,128.338,127.1508,127.6169,1601797,1601797,-0.008794,-0.007,127.5699,"Jul 25, 14",0.014329077583514128
2014-07-28,127.441,128.0654,126.4385,127.9774,2002176,2002176,0.360551,0.283,127.4196,"Jul 28, 14",0.017194416206132754
2014-07-29,127.7048,128.6282,126.6232,126.6496,2288993,2288993,-1.3279,-1.038,127.487,"Jul 29, 14",0.006640750122601603
