date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,50.3353,50.7153,50.1461,50.3526,9563877,9563877,-0.060446,-0.12,50.3904,"Jun 12, 14",0
2014-06-13,50.1885,50.6549,50.0762,50.3007,8398525,8398525,-0.051818,-0.103,50.3629,"Jun 13, 14",-0.0010307312829924053
2014-06-16,50.1453,50.4217,49.8603,50.1539,7731464,7731464,-0.146828,-0.292,50.1259,"Jun 16, 14",-0.003946171597891714
2014-06-17,50.0503,50.2792,49.9034,50.1453,6266710,6266710,-0.008638,-0.017,50.1208,"Jun 17, 14",-0.00411696714767467
2014-06-18,50.1194,50.4821,49.9294,50.4476,7837250,7837250,0.302291,0.603,50.223,"Jun 18, 14",0.001886695026671887
2014-06-19,50.4562,50.4562,50.1758,50.3526,6012926,6012926,-0.095007,-0.188,50.3283,"Jun 19, 14",0
2014-06-20,50.6203,51.199,50.4735,50.888,14418039,14418039,0.535482,1.063,51.0591,"Jun 20, 14",0.010633015971369812
2014-06-23,50.793,50.9399,50.4476,50.5253,7054412,7054412,-0.362744,-0.713,50.6372,"Jun 23, 14",0.003429812959013019
2014-06-24,50.4217,50.7499,49.9898,50.0244,8158525,8158525,-0.500936,-0.991,50.2849,"Jun 24, 14",-0.006518034818460267
2014-06-25,49.8603,51.2335,49.8516,50.8362,13274299,13274299,0.811862,1.623,50.8712,"Jun 25, 14",0.009604270683142391
2014-06-26,50.7499,50.7585,50.3093,50.5512,7238577,7238577,-0.285015,-0.561,50.4845,"Jun 26, 14",0.00394418560312673
2014-06-27,50.413,50.546,49.64,49.6875,17286475,17286475,-0.863681,-1.709,52.8738,"Jun 27, 14",-0.013208851181468334
2014-06-30,49.7566,50.2662,49.6875,49.9639,8735023,8735023,0.27638,0.556,50.1808,"Jun 30, 14",-0.007719561651235488
2014-07-01,49.8344,50.6462,49.6443,50.5339,8843199,8843199,0.570029,1.141,50.4999,"Jul 1, 14",0.0036006085087959753
2014-07-02,50.4994,51.0435,50.413,51.0003,6941072,6941072,0.466384,0.923,50.8875,"Jul 2, 14",0.012863288092372596
2014-07-03,51.294,51.3458,51.0176,51.1299,5220098,5220098,0.129553,0.254,51.1552,"Jul 3, 14",0.015437137307705993
2014-07-07,50.8794,51.5185,50.5167,50.5426,9276350,9276350,-0.587303,-1.149,50.8546,"Jul 7, 14",0.003773390053343774
2014-07-08,50.6635,50.6721,50.0157,50.2403,8270120,8270120,-0.302288,-0.598,50.2103,"Jul 8, 14",-0.002230272121002783
2014-07-09,50.4821,50.7153,50.2489,50.5685,6938736,6938736,0.3282,0.653,50.4939,"Jul 9, 14",0.004287762697457485
2014-07-10,50.3353,50.7585,49.8603,50.5944,5583712,5583712,0.025908,0.051,50.4311,"Jul 10, 14",0.004802135341571196
2014-07-11,50.6549,50.7326,50.2273,50.4735,6106837,6106837,-0.120913,-0.239,50.5118,"Jul 11, 14",0.002401067670785598
2014-07-14,50.6289,50.6721,50.141,50.2489,8387209,8387209,-0.224558,-0.445,50.3272,"Jul 14, 14",-0.002059476571219827
2014-07-15,50.2057,50.4389,49.653,50.0157,10158139,10158139,-0.233195,-0.464,50.0152,"Jul 15, 14",-0.006690816363008066
2014-07-16,50.0416,50.2748,49.8603,50.223,6804960,6804960,0.207284,0.414,50.107,"Jul 16, 14",-0.0025738492153335375
2014-07-17,50.0244,50.4648,49.7653,50.3871,7432722,7432722,0.164101,0.327,50.149,"Jul 17, 14",0.0006851681938965257
2014-07-18,50.0244,50.4648,49.7653,50.3871,7433222,7433222,0,0,50.149,"Jul 18, 14",0.0006851681938965257
2014-07-21,49.9985,50.2576,49.843,50.0935,7095660,7095660,-0.293653,-0.583,50.0739,"Jul 21, 14",-0.0051457124359020915
2014-07-22,50.2057,50.8535,50.2057,50.4648,6509200,6509200,0.371384,0.741,50.5546,"Jul 22, 14",0.002228286126237658
2014-07-23,50.3526,50.5253,50.1366,50.1885,6298349,6298349,-0.276377,-0.548,50.2811,"Jul 23, 14",-0.0032590174092302043
2014-07-24,50.3698,50.5253,50.0202,50.2748,10064198,10064198,0.086368,0.172,50.2345,"Jul 24, 14",-0.001545103927106116
2014-07-25,50.2057,50.4043,50.0244,50.223,5533511,5533511,-0.051823,-0.103,50.2198,"Jul 25, 14",-0.0025738492153335375
2014-07-28,50.2403,50.3871,49.9639,50.0675,8600836,8600836,-0.155464,-0.31,50.1132,"Jul 28, 14",-0.005662071074780645
2014-07-29,50.8017,51.199,50.2144,50.5944,10328007,10328007,0.526846,1.052,50.819,"Jul 29, 14",0.004802135341571196
2014-07-30,50.5944,50.8276,49.7523,50.1626,8051798,8051798,-0.431837,-0.854,50.1848,"Jul 30, 14",-0.003773390053343915
2014-07-31,49.8862,50.1539,48.9879,49.0052,10120747,10120747,-1.1573,-2.307,49.4099,"Jul 31, 14",-0.02675929346250244
2014-08-01,49.1866,49.463,48.677,49.2816,8649516,8649516,0.276377,0.564,49.1147,"Aug 1, 14",-0.021270003932269733
2014-08-04,49.1866,49.463,48.677,49.2816,8651256,8651256,0,0,49.1147,"Aug 4, 14",-0.021270003932269733
2014-08-05,48.9879,49.2039,48.2106,48.392,9031186,9031186,-0.889591,-1.805,48.6202,"Aug 5, 14",-0.03893741336097837
