date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,35.5126,35.6306,35.2245,35.3142,6330580,3165290,-0.174752,-0.492,35.4248,"Jun 12, 14",0
2014-06-13,35.3,35.3898,34.5443,35.2434,7712158,3856079,-0.070847,-0.201,35.0921,"Jun 13, 14",-0.0020048592350951863
2014-06-16,35.3331,35.5645,35.1394,35.2103,6531480,3265740,-0.03306,-0.094,35.2839,"Jun 16, 14",-0.0029421592447231707
2014-06-17,35.3142,35.4984,35.0686,35.4653,6122274,3061137,0.255042,0.724,35.3574,"Jun 17, 14",0.004278732068119895
2014-06-18,35.5362,36.0653,35.2906,35.9943,9852222,4926111,0.528983,1.492,35.5808,"Jun 18, 14",0.019258541889664867
2014-06-19,36.0982,36.1077,35.522,35.7251,4977664,2488832,-0.269215,-0.748,35.7106,"Jun 19, 14",0.0116355460409693
2014-06-20,35.9376,35.9565,35.4464,35.4701,11385672,5692836,-0.255043,-0.714,35.7672,"Jun 20, 14",0.004414654728126436
2014-06-23,35.4701,35.7109,35.1394,35.6354,9069278,4534639,0.165307,0.466,35.4737,"Jun 23, 14",0.009095491332098632
2014-06-24,35.607,35.8786,35.3898,35.4134,7616964,3808482,-0.221984,-0.623,35.6138,"Jun 24, 14",0.0028090683068001904
2014-06-25,35.437,36.1502,35.437,36.1171,7172136,3586068,0.703733,1.987,35.9412,"Jun 25, 14",0.02273589660816332
2014-06-26,36.1643,36.3249,35.7393,36.3013,10522660,5261330,0.184199,0.51,36.3331,"Jun 26, 14",0.027951928685910996
2014-06-27,37.0901,37.3829,36.6886,36.6886,18142240,9071120,0.38729,1.067,37.2573,"Jun 27, 14",0.038919188315182034
2014-06-30,36.6083,36.7122,36.4099,36.6272,8538802,4269401,-0.061402,-0.167,36.6449,"Jun 30, 14",0.03718051095593281
2014-07-01,36.7122,37.0948,36.7122,36.8397,7129814,3564907,0.212538,0.58,36.9386,"Jul 1, 14",0.043197920383301926
2014-07-02,36.8681,37.031,36.6933,36.7406,5577522,2788761,-0.099183,-0.269,36.799,"Jul 2, 14",0.0403916837985853
2014-07-03,36.6178,37.1326,36.3674,37.0523,4568500,2284250,0.311721,0.848,36.9391,"Jul 3, 14",0.04921816153275461
2014-07-07,36.8397,37.2318,36.8114,37.1467,5464806,2732403,0.09446,0.255,37.1064,"Jul 7, 14",0.05189130717954826
2014-07-08,36.9862,37.0334,36.4005,36.6839,8056876,4028438,-0.462859,-1.246,36.6702,"Jul 8, 14",0.038786097377259056
2014-07-09,36.7358,37.2011,36.6933,37.1656,7048542,3524271,0.48175,1.313,37.0249,"Jul 9, 14",0.05242650265332354
2014-07-10,36.495,36.75,36.2683,36.6036,6356956,3178478,-0.562038,-1.512,36.5678,"Jul 10, 14",0.03651222454423435
2014-07-11,36.4997,36.6461,36.2541,36.5044,5767520,2883760,-0.099187,-0.271,36.4194,"Jul 11, 14",0.033703156237434154
2014-07-14,36.8161,36.9295,36.6461,36.8161,5503306,2751653,0.311722,0.854,36.8077,"Jul 14, 14",0.04252963397160347
2014-07-15,36.613,36.9389,36.5941,36.8539,6547966,3273983,0.037784,0.103,36.8073,"Jul 15, 14",0.043600024919154434
2014-07-16,36.7689,36.9484,36.2588,36.3297,7463878,3731939,-0.524259,-1.423,36.4371,"Jul 16, 14",0.028756137757616002
2014-07-17,36.0982,36.3533,36.0368,36.1455,7462670,3731335,-0.184198,-0.507,36.1638,"Jul 17, 14",0.023540105679868122
2014-07-18,36.2966,36.7028,36.2116,36.613,6074414,3037207,0.46758,1.294,36.5466,"Jul 18, 14",0.036778406420080303
2014-07-21,36.2871,36.5091,36.2257,36.2824,4222964,2111482,-0.330609,-0.903,36.3417,"Jul 21, 14",0.027416733212135714
2014-07-22,36.4194,36.6697,36.3674,36.3863,5035986,2517993,0.103903,0.286,36.4952,"Jul 22, 14",0.030358892456858685
2014-07-23,36.4902,36.58,36.2871,36.5422,4103962,2051981,0.155861,0.428,36.4688,"Jul 23, 14",0.03477354718498512
2014-07-24,36.8114,37.2034,36.7736,37.1231,8030262,4015131,0.580935,1.59,37.0674,"Jul 24, 14",0.0512230207678498
2014-07-25,37.0003,37.2081,36.6555,36.7075,4540920,2270460,-0.415628,-1.12,36.852,"Jul 25, 14",0.03945438378895752
2014-07-28,36.8067,37.1231,36.613,37.0287,4065216,2032608,0.321169,0.875,36.9317,"Jul 28, 14",0.04854987512105615
2014-07-29,37.0381,37.2459,36.887,36.887,4669634,2334817,-0.141693,-0.383,37.0579,"Jul 29, 14",0.044537324928782214
2014-07-30,37.0239,37.756,36.972,37.6002,9058332,4529166,0.71318,1.933,37.4553,"Jul 30, 14",0.06473316682807487
2014-07-31,37.1515,37.3215,36.358,36.4288,7797748,3898874,-1.1713,-3.115,36.6494,"Jul 31, 14",0.03156237434233263
2014-08-01,37.799,37.8416,37.2068,37.3395,4409658,2204829,0.910623,2.5,37.3852,"Aug 1, 14",0.057350867356474204
2014-08-04,36.3108,36.5587,36.033,36.443,4839350,2419675,-0.896452,-2.401,36.3751,"Aug 4, 14",0.03196447887818493
2014-08-05,36.2541,36.6697,36.1455,36.3297,4866202,2433101,-0.113354,-0.311,36.4084,"Aug 5, 14",0.028756137757616002
2014-08-06,36.136,36.4808,36.1077,36.4336,5074324,2537162,0.103907,0.286,36.3413,"Aug 6, 14",0.03169829700233897
2014-08-07,36.6981,36.7122,35.8857,36.0604,6756694,3378347,-0.373118,-1.024,36.173,"Aug 7, 14",0.021130310186837073
2014-08-08,36.0415,36.4147,35.8479,36.3958,6726000,3363000,0.335335,0.93,36.2654,"Aug 8, 14",0.030627906054788205
2014-08-11,36.5941,36.6036,36.358,36.3958,7848616,3924308,0,0,36.4352,"Aug 11, 14",0.030627906054788205
2014-08-12,36.3674,36.5764,36.1266,36.2399,9142328,4571164,-0.15586,-0.428,36.3995,"Aug 12, 14",0.02621325132666177
2014-08-13,36.4052,36.7406,36.1502,36.4855,6400460,3200230,0.245598,0.678,36.4863,"Aug 13, 14",0.033167960763658876
2014-08-14,36.613,36.75,36.3485,36.5091,3934930,1967465,0.023616,0.065,36.4686,"Aug 14, 14",0.03383624717535714
2014-08-15,36.7075,36.8397,36.128,36.4288,4498524,2249262,-0.080295,-0.22,36.4509,"Aug 15, 14",0.03156237434233263
2014-08-18,36.7122,37.1656,36.6367,37.0995,5697360,2848680,0.670674,1.841,37.0423,"Aug 18, 14",0.050554734356151335
2014-08-19,37.1751,37.3546,37.005,37.0806,4424066,2212033,-0.018892,-0.051,37.125,"Aug 19, 14",0.050019538882375855
2014-08-20,36.9295,37.3498,36.9295,37.2695,3965796,1982898,0.188922,0.509,37.2373,"Aug 20, 14",0.05536866189804671
2014-08-21,37.3309,37.501,37.1467,37.2837,4001828,2000914,0.014169,0.038,37.3235,"Aug 21, 14",0.055770766433899215
2014-08-22,37.4301,37.6568,37.2743,37.449,5807376,2903688,0.165305,0.443,37.4788,"Aug 22, 14",0.06045160303787141
2014-08-25,37.5954,37.926,37.5482,37.7891,5086628,2543314,0.340062,0.908,37.7588,"Aug 25, 14",0.07008228984374552
2014-08-26,37.7985,37.8316,37.5104,37.5388,5218934,2609467,-0.250323,-0.662,37.6193,"Aug 26, 14",0.06299448946882565
2014-08-27,37.7796,37.7796,37.5104,37.6521,3687566,1843783,0.113355,0.302,37.6157,"Aug 27, 14",0.06620283058939457
2014-08-28,37.4342,37.529,37.2637,37.3395,5169126,2584563,-0.312649,-0.83,37.3703,"Aug 28, 14",0.057350867356474204
2014-08-29,37.3537,37.3963,37.0789,37.2116,6422960,3211480,-0.127905,-0.343,37.2241,"Aug 29, 14",0.05372909481171873
2014-09-02,37.1168,37.6711,37.1168,37.5574,8164366,4082183,0.345824,0.929,37.5058,"Sep 2, 14",0.06352118977635064
2014-09-03,37.799,37.8416,37.2068,37.3395,4419754,2209877,-0.217919,-0.58,37.3852,"Sep 3, 14",0.057350867356474204
2014-09-04,37.5195,38.0027,37.51,37.8606,6030362,3015181,0.521106,1.396,37.8313,"Sep 4, 14",0.07210697113342504
2014-09-05,37.6805,38.898,37.5905,38.8649,12380650,6190325,1.0043,2.653,38.432,"Sep 5, 14",0.10054595601769258
2014-09-08,38.808,39.2202,38.4148,39.0354,11729654,5864827,0.17054,0.439,38.8624,"Sep 8, 14",0.10537404217000536
2014-09-09,38.9738,39.1017,38.6138,38.7701,8125190,4062595,-0.265288,-0.68,38.8593,"Sep 9, 14",0.09786148348256508
2014-09-10,38.718,39.1349,38.6091,39.0686,6742670,3371335,0.29845,0.77,38.918,"Sep 10, 14",0.1063141739017167
2014-09-11,38.9217,39.1254,38.628,38.7607,7462444,3731222,-0.307925,-0.788,38.811,"Sep 11, 14",0.09759530160671911
2014-09-12,38.8317,38.8459,38.5664,38.7701,5926258,2963129,0.009475,0.024,38.7292,"Sep 12, 14",0.09786148348256508
2014-09-15,38.8933,38.9312,38.3769,38.6612,6731534,3365767,-0.108958,-0.281,38.5829,"Sep 15, 14",0.09477773813366865
2014-09-16,38.4812,38.628,38.2917,38.4669,9393364,4696682,-0.194229,-0.502,38.4782,"Sep 16, 14",0.08927570212549069
2014-09-17,38.6327,38.7654,38.3722,38.6138,7443272,3721636,0.146856,0.382,38.5602,"Sep 17, 14",0.0934355018661048
2014-09-18,38.7749,38.8459,38.4906,38.8317,6393816,3196908,0.217916,0.564,38.6907,"Sep 18, 14",0.09960582428598123
2014-09-19,39.1491,39.1965,38.5285,38.7559,19706420,9853210,-0.075796,-0.195,38.8283,"Sep 19, 14",0.09745937894671258
2014-09-22,38.6943,38.7843,37.9932,38.2348,8145064,4072532,-0.521105,-1.345,38.2588,"Sep 22, 14",0.08270327516976175
2014-09-23,38.1448,38.1732,37.8464,37.9553,6046870,3023435,-0.279499,-0.731,38.0195,"Sep 23, 14",0.07478861194646917
2014-09-24,37.9648,38.3106,37.8606,38.2964,6768768,3384384,0.341084,0.899,38.1494,"Sep 24, 14",0.0844476159731779
2014-09-25,38.2206,38.2206,37.5526,37.78,14138328,7069164,-0.516364,-1.348,37.8056,"Sep 25, 14",0.06982460313415005
2014-09-26,41.6788,42.631,41.3567,42.3989,35108796,17554398,4.6189,12.226,41.9763,"Sep 26, 14",0.200619014447446
2014-09-29,41.8162,42.6831,41.8162,42.2189,14850956,7425478,-0.180019,-0.425,42.2454,"Sep 29, 14",0.19552191469720392
2014-09-30,42.0152,42.7732,41.8778,42.2568,11584526,5792263,0.037899,0.09,42.3522,"Sep 30, 14",0.19659513736683823
2014-10-01,42.1194,42.162,41.4562,41.5462,9472554,4736277,-0.710597,-1.682,41.678,"Oct 1, 14",0.1764729202417158
2014-10-02,41.532,42.4036,41.1577,42.3042,8744190,4372095,0.757968,1.824,41.9259,"Oct 2, 14",0.1979373736344021
2014-10-03,42.5221,42.849,42.2426,42.7732,8798778,4399389,0.468994,1.109,42.6464,"Oct 3, 14",0.2112181502058663
2014-10-06,42.7732,42.8726,41.9536,42.2663,7031214,3515607,-0.506893,-1.185,42.3102,"Oct 6, 14",0.19686415096476775
2014-10-07,41.9725,42.252,41.7025,41.7215,5486754,2743377,-0.544788,-1.289,41.9353,"Oct 7, 14",0.1814369290540349
2014-10-08,41.7404,42.2378,41.4657,42.0815,7481288,3740644,0.360034,0.863,41.9111,"Oct 8, 14",0.1916311285545191
2014-10-09,41.9015,42.1573,41.262,41.3235,7463072,3731536,-0.757969,-1.801,41.6091,"Oct 9, 14",0.170166675161833
2014-10-10,41.423,41.7831,41.2193,41.3046,9048282,4524141,-0.018949,-0.046,41.4649,"Oct 10, 14",0.16963147968805753
2014-10-13,41.1956,41.2714,40.3808,40.4519,8010426,4005213,-0.852716,-2.064,40.846,"Oct 13, 14",0.14548538548232728
2014-10-14,40.6366,40.6982,40.1913,40.3098,9854322,4927161,-0.142119,-0.351,40.3755,"Oct 14, 14",0.1414615084017195
2014-10-15,40.324,41.262,39.8408,40.3524,17572044,8786022,0.042637,0.106,40.3257,"Oct 15, 14",0.14266782200927683
2014-10-16,39.8834,41.333,39.7223,41.2335,13643924,6821962,0.881139,2.184,40.7492,"Oct 16, 14",0.16761812528671186
2014-10-17,41.5841,41.8541,41.1814,41.2998,11407164,5703582,0.066321,0.161,41.4994,"Oct 17, 14",0.169495557028051
2014-10-20,41.1198,42.1265,41.1056,42.1147,6746026,3373013,0.814818,1.973,41.8639,"Oct 20, 14",0.19257126028623045
2014-10-21,42.3042,42.9674,42.1715,42.939,6469338,3234669,0.824294,1.957,42.7202,"Oct 21, 14",0.2159131454202559
