date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,24.5729,24.7485,24.5478,24.6314,24118677,24118677,0.016726,0.068,24.6632,"Jun 12, 14",0
2014-06-13,24.6398,24.7527,24.5562,24.6984,19604327,19604327,0.06691,0.272,24.6603,"Jun 13, 14",0.0027201052315337405
2014-06-16,24.6733,24.8489,24.5227,24.7653,25028485,25028485,0.066913,0.271,24.6997,"Jun 16, 14",0.005436150604512962
2014-06-17,24.7402,24.7736,24.6231,24.6565,18283381,18283381,-0.108731,-0.439,24.6924,"Jun 17, 14",0.0010190244971865952
2014-06-18,24.6984,24.8489,24.5394,24.8489,19338165,19338165,0.192366,0.78,24.6932,"Jun 18, 14",0.00883019235609836
2014-06-19,24.8405,24.8489,24.6733,24.7485,20308232,20308232,-0.100364,-0.404,24.7304,"Jun 19, 14",0.004754094367352268
2014-06-20,24.874,25.0246,24.782,24.9075,31303024,31303024,0.15891,0.642,24.913,"Jun 20, 14",0.01120926946905168
2014-06-23,24.9325,24.966,24.5311,24.6314,25188458,25188458,-0.276004,-1.108,24.6402,"Jun 23, 14",0
2014-06-24,24.6147,24.6565,24.506,24.506,23354055,23354055,-0.125458,-0.509,24.5608,"Jun 24, 14",-0.005091062627378024
2014-06-25,24.3805,24.9576,24.3805,24.9242,31517974,31517974,0.418191,1.706,24.8364,"Jun 25, 14",0.011887265847657856
2014-06-26,24.8573,24.9158,24.6565,24.7485,19472797,19472797,-0.175639,-0.705,24.7694,"Jun 26, 14",0.004754094367352268
2014-06-27,24.8155,24.8824,24.6565,24.8155,30672693,30672693,0.066912,0.27,26.4429,"Jun 27, 14",0.0074741995988860084
2014-06-30,24.8907,24.9576,24.7736,24.8238,20566300,20566300,0.008362,0.034,24.9252,"Jun 30, 14",0.0078111678589117646
2014-07-01,24.7653,25.2755,24.7444,25.1584,25600160,25600160,0.334553,1.348,25.1191,"Jul 1, 14",0.021395454582362392
2014-07-02,25.1416,25.4427,25.0915,25.4009,18501691,18501691,0.242551,0.964,25.3466,"Jul 2, 14",0.031240611577092684
2014-07-03,25.6017,25.6267,25.334,25.5347,14852913,14852913,0.13382,0.527,25.4782,"Jul 3, 14",0.03667270232305113
2014-07-07,25.5013,25.6184,25.4093,25.5013,17593378,17593378,-0.033455,-0.131,25.4899,"Jul 7, 14",0.03531670956583878
2014-07-08,25.4929,25.5013,25.1082,25.2169,22440385,22440385,-0.28437,-1.115,25.2526,"Jul 8, 14",0.023770471836761196
2014-07-09,25.1918,25.2587,25.0078,25.1333,20680419,20680419,-0.083637,-0.332,25.1567,"Jul 9, 14",0.020376430085175798
2014-07-10,24.8907,25.1249,24.7402,25.0915,20114399,20114399,-0.04182,-0.166,24.97,"Jul 10, 14",0.01867940920938317
2014-07-11,25.1249,25.1918,24.9242,25.15,18359599,18359599,0.058546,0.233,25.0805,"Jul 11, 14",0.021054426463781972
2014-07-14,25.2504,25.3675,25.1784,25.2922,20483726,20483726,0.142186,0.565,25.298,"Jul 14, 14",0.026827545328320837
2014-07-15,25.2587,25.61,25.2587,25.4344,30883159,30883159,0.142183,0.562,25.4499,"Jul 15, 14",0.032600664192859556
2014-07-16,25.518,25.9028,25.3967,25.8944,35413297,35413297,0.460013,1.809,25.7194,"Jul 16, 14",0.05127601354368821
2014-07-17,25.5347,25.7187,25.3758,25.702,24389678,24389678,-0.192368,-0.743,25.5814,"Jul 17, 14",0.043464845684776446
2014-07-18,25.5347,25.7187,25.3758,25.702,24403174,24403174,0,0,25.5814,"Jul 18, 14",0.043464845684776446
2014-07-21,25.4511,25.6267,25.3424,25.3842,22763367,22763367,-0.317826,-1.237,25.4457,"Jul 21, 14",0.03056261519848651
2014-07-22,25.5515,25.6853,25.426,25.5013,18742272,18742272,0.117093,0.461,25.5473,"Jul 22, 14",0.03531670956583878
2014-07-23,25.6686,25.6686,25.3591,25.4176,21115436,21115436,-0.083639,-0.328,25.4528,"Jul 23, 14",0.03191860795569886
2014-07-24,25.4009,25.5682,25.3591,25.3758,14838961,14838961,-0.041815,-0.165,25.4233,"Jul 24, 14",0.030221587079906236
2014-07-25,25.3591,25.3842,25.1584,25.2504,14504702,14504702,-0.12546,-0.494,25.2526,"Jul 25, 14",0.025130524452528065
2014-07-28,24.9158,25.2336,24.9075,25.1751,27297106,27297106,-0.075273,-0.298,25.119,"Jul 28, 14",0.02207345096096857
2014-07-29,25.3675,25.5013,24.8322,24.8656,37913591,37913591,-0.309463,-1.229,25.0952,"Jul 29, 14",0.009508188734704536
2014-07-30,24.8994,24.9247,24.4944,24.6884,33990600,33990600,-0.177202,-0.713,24.6495,"Jul 30, 14",0.002314119376081025
2014-07-31,24.6884,24.7391,24.2159,24.2159,38357296,38357296,-0.472501,-1.914,24.3969,"Jul 31, 14",-0.016868712294063594
2014-08-01,24.2159,24.5534,24.2075,24.3509,31341919,31341919,0.134999,0.557,24.3823,"Aug 1, 14",-0.011387903245450928
2014-08-04,24.4269,24.4353,24.1316,24.2581,24144726,24144726,-0.09281,-0.381,24.2475,"Aug 4, 14",-0.015155451984052893
2014-08-05,24.1147,24.2244,23.87,23.9712,27686952,27686952,-0.286881,-1.183,24.0352,"Aug 5, 14",-0.026803186176993583
2014-08-06,23.8784,23.9544,23.7012,23.8616,23380186,23380186,-0.10969,-0.458,23.8528,"Aug 6, 14",-0.03125279115275624
2014-08-07,23.9966,23.9966,23.5578,23.6591,30515280,30515280,-0.202501,-0.849,23.6859,"Aug 7, 14",-0.03947400472567538
