date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,67.9888,68.1677,67.8781,67.9377,6526949,6526949,-0.255533,-0.375,67.9874,"Jun 12, 14",0
2014-06-13,67.9121,68.091,67.7162,67.8355,5214278,5214278,-0.102215,-0.15,67.8593,"Jun 13, 14",-0.001504319398507905
2014-06-16,67.7333,68.091,67.384,67.8781,5334617,5334617,0.042588,0.063,67.8486,"Jun 16, 14",-0.0008772743263313771
2014-06-17,67.8099,67.9632,67.5884,67.7844,5337668,5337668,-0.093695,-0.138,67.7384,"Jun 17, 14",-0.002256479097761648
2014-06-18,67.6651,68.091,67.4011,67.9632,9618007,9618007,0.178873,0.264,67.7831,"Jun 18, 14",0.00037534388123227393
2014-06-19,68.0143,68.6276,67.9717,68.3465,12493024,12493024,0.383301,0.564,68.348,"Jun 19, 14",0.0060172775940309925
2014-06-20,68.5169,68.568,67.993,68.0825,11664486,11664486,-0.264054,-0.386,68.3651,"Jun 20, 14",0.0021313644706840145
2014-06-23,68.1932,68.1932,67.597,67.7333,6947701,6947701,-0.349225,-0.513,70.0511,"Jun 23, 14",-0.0030086387970156008
2014-06-24,67.6481,67.6651,67.2179,67.2988,8157305,8157305,-0.434406,-0.641,67.4519,"Jun 24, 14",-0.009404204145857258
2014-06-25,67.3244,67.5927,66.9922,67.5629,12569262,12569262,0.264048,0.392,67.3599,"Jun 25, 14",-0.005516819085721294
2014-06-26,67.4948,67.5373,66.9411,66.9667,7262067,7262067,-0.596242,-0.882,67.0809,"Jun 26, 14",-0.014292506222612827
2014-06-27,66.9496,67.4522,66.8815,67.3074,8975304,8975304,0.340713,0.509,70.7649,"Jun 27, 14",-0.009277617581990638
2014-06-30,67.2988,67.6821,66.8048,66.9411,10303230,10303230,-0.366265,-0.544,67.2896,"Jun 30, 14",-0.014669322040634298
2014-07-01,67.1796,67.6396,66.8687,67.5288,8426276,8426276,0.587724,0.878,67.454,"Jul 1, 14",-0.006018749530820188
2014-07-02,67.7673,68.0229,67.6651,67.7673,6282586,6282586,0.238495,0.353,67.8624,"Jul 2, 14",-0.002508180288705693
2014-07-03,68.0825,68.2614,67.8312,68.1251,5501056,5501056,0.357748,0.528,68.0685,"Jul 3, 14",0.0027584095428605424
2014-07-07,67.9292,68.3125,67.8525,68.3039,6674885,6674885,0.178874,0.263,68.1665,"Jul 7, 14",0.005390232521854464
2014-07-08,68.1677,68.8661,68.0654,68.6191,9150185,9150185,0.315158,0.461,68.6618,"Jul 8, 14",0.01002977728124438
2014-07-09,68.7043,69.6753,68.568,69.5646,12120399,12120399,0.945473,1.378,69.4608,"Jul 9, 14",0.023946939622624727
2014-07-10,69.2239,69.769,69.1557,69.5135,8786489,8786489,-0.051108,-0.073,69.7044,"Jul 10, 14",0.023194779923370774
2014-07-11,69.045,69.4792,68.9939,69.1302,7519293,7519293,-0.3833,-0.551,69.1592,"Jul 11, 14",0.017552846210572265
2014-07-14,69.3005,69.6199,69.2494,69.2664,6806097,6806097,0.136285,0.197,69.3775,"Jul 14, 14",0.019557624117389868
2014-07-15,69.4283,69.4325,69.0705,69.2153,9638650,9638650,-0.051106,-0.074,69.221,"Jul 15, 14",0.018805464418135916
2014-07-16,69.4588,69.7164,69.33,69.4932,8946279,8946279,0.277816,0.401,69.5105,"Jul 16, 14",0.02289597675517415
2014-07-17,69.1583,69.33,68.8235,69.1583,6502396,6502396,-0.334844,-0.482,69.1092,"Jul 17, 14",0.017966460448322362
2014-07-18,69.1583,69.33,68.8235,69.1583,6507017,6507017,0,0,69.1092,"Jul 18, 14",0.017966460448322362
2014-07-21,68.9694,69.0294,68.6432,68.9265,4439218,4439218,-0.231816,-0.335,68.8771,"Jul 21, 14",0.014554510971080823
2014-07-22,68.9351,69.1841,68.4886,68.772,6073192,6073192,-0.154545,-0.224,68.7726,"Jul 22, 14",0.012280368631849456
2014-07-23,68.9694,69.1154,68.5273,68.6775,5891317,5891317,-0.094442,-0.137,68.6864,"Jul 23, 14",0.010889388366105831
2014-07-24,68.7891,68.9608,68.5573,68.9093,6273126,6273126,0.231815,0.338,68.7716,"Jul 24, 14",0.014301337843347582
2014-07-25,68.7033,68.8235,68.1452,68.3083,6293364,6293364,-0.601003,-0.872,68.3631,"Jul 25, 14",0.00545499774057697
2014-07-28,68.1795,68.3598,67.6987,68.0507,6757259,6757259,-0.257574,-0.377,68.0175,"Jul 28, 14",0.0016632885717355686
2014-07-29,67.9048,68.2568,67.527,67.527,6425591,6425591,-0.523732,-0.77,67.7965,"Jul 29, 14",-0.006045244393024868
2014-07-30,67.5699,67.8361,67.0891,67.1063,8296537,8296537,-0.420701,-0.623,67.3085,"Jul 30, 14",-0.012237682464964254
2014-07-31,66.7629,66.9775,66.3594,66.3851,11239379,11239379,-0.721204,-1.075,66.6403,"Jul 31, 14",-0.022853290588289155
2014-08-01,68.0422,69.2613,67.6816,68.3856,18110864,18110864,2.0005,3.013,68.7026,"Aug 1, 14",0.006592804878587146
2014-08-04,68.2225,68.2225,67.5356,68.0164,12075293,12075293,-0.369189,-0.54,67.8524,"Aug 4, 14",0.0011584142530582837
2014-08-05,67.8189,68.4629,67.8103,68.1795,7995884,7995884,0.163131,0.24,68.1832,"Aug 5, 14",0.003559143156156269
2014-08-06,68.171,69.8022,68.0593,69.6219,12839049,12839049,1.4424,2.116,69.3867,"Aug 6, 14",0.024790359402805655
2014-08-07,69.5618,69.6992,68.6947,68.8063,7912807,7912807,-0.815646,-1.172,68.9916,"Aug 7, 14",0.012785242950526533
2014-08-08,68.729,69.5704,68.7204,69.5017,6215609,6215609,0.695446,1.011,69.3165,"Aug 8, 14",0.023021091382251575
2014-08-11,69.7421,70.2916,69.5704,69.9568,8188008,8188008,0.455045,0.655,70.0785,"Aug 11, 14",0.02971987570965744
2014-08-12,69.974,70.2831,69.725,69.9053,6591201,6591201,-0.051515,-0.074,69.9476,"Aug 12, 14",0.028961828263246916
2014-08-13,70.0942,70.2272,69.6391,69.9568,5472167,5472167,0.051515,0.074,69.9797,"Aug 13, 14",0.02971987570965744
2014-08-14,70.0512,70.4376,69.9182,70.3603,5930709,5930709,0.403532,0.577,70.268,"Aug 14, 14",0.03565914065386359
2014-08-15,70.6007,70.6007,69.6992,70.2144,7422986,7422986,-0.145958,-0.207,70.1814,"Aug 15, 14",0.03351158487849884
2014-08-18,70.3947,71.133,70.2401,70.781,8450531,8450531,0.56666,0.807,70.817,"Aug 18, 14",0.04185157872580318
2014-08-19,70.7038,71.1502,70.5063,70.9957,6873612,6873612,0.214642,0.303,70.9142,"Aug 19, 14",0.04501182701210068
2014-08-20,70.7982,71.2103,70.7982,71.0987,4581835,4581835,0.103029,0.145,71.0458,"Aug 20, 14",0.04652792190492152
2014-08-21,71.0901,71.6654,70.9957,71.5022,7106490,7106490,0.403531,0.568,71.4187,"Aug 21, 14",0.05246718684912788
