date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,84.7161,84.9124,84.3593,84.7429,1840484,1840484,0.0892,0.105,84.6541,"Jun 12, 14",0
2014-06-13,84.6983,85.1711,84.5823,85.1086,1446468,1446468,0.365733,0.432,84.9892,"Jun 13, 14",0.0043154057744069375
2014-06-16,84.9302,85.4146,84.9213,85.1532,1306322,1306322,0.044603,0.052,85.159,"Jun 16, 14",0.004841703552745921
2014-06-17,84.6805,85.3584,84.3593,84.9392,2175714,2175714,-0.214086,-0.251,85.0264,"Jun 17, 14",0.0023164182486083637
2014-06-18,84.9124,85.2514,84.6626,85.0997,2556575,2556575,0.160563,0.189,85.0077,"Jun 18, 14",0.004210382226711532
2014-06-19,85.2335,85.3316,84.7518,85.2781,2115947,2115947,0.178407,0.21,85.1715,"Jun 19, 14",0.006315573340067298
2014-06-20,85.4744,85.7955,84.3504,84.3772,4795685,4795685,-0.900951,-1.056,84.9078,"Jun 20, 14",-0.004315405774407106
2014-06-23,84.3772,84.957,84.3772,84.6983,1930327,1930327,0.321129,0.381,84.6376,"Jun 23, 14",-0.0005262977783389833
2014-06-24,84.5734,85.0908,84.3237,84.4485,1640345,1640345,-0.249765,-0.295,84.6386,"Jun 24, 14",-0.003474037352981904
2014-06-25,84.4218,84.7786,84.1631,84.618,1298247,1298247,0.169483,0.201,84.5851,"Jun 25, 14",-0.0014738697873215442
2014-06-26,84.6359,84.7072,83.503,84.2166,1215461,1215461,-0.401414,-0.474,84.049,"Jun 26, 14",-0.0062105497923720596
2014-06-27,84.3147,84.6492,83.4869,83.7795,4143667,4143667,-0.437095,-0.519,88.193,"Jun 27, 14",-0.011368504028066152
2014-06-30,83.9222,84.1898,83.5387,83.9133,2153895,2153895,0.133808,0.16,83.9968,"Jun 30, 14",-0.009789610693049202
2014-07-01,84.6359,85.4655,84.511,84.9302,1631086,1631086,1.0169,1.212,85.0314,"Jul 1, 14",0.002210214661051172
2014-07-02,84.6626,84.9659,84.2345,84.4039,1114491,1114491,-0.526299,-0.62,84.485,"Jul 2, 14",-0.004000335131320887
2014-07-03,84.4218,84.6091,84.1631,84.6002,828949,828949,0.196246,0.233,84.4666,"Jul 3, 14",-0.001683916882712356
2014-07-07,84.2969,84.5377,84.1631,84.3415,1319109,1319109,-0.258689,-0.306,84.3444,"Jul 7, 14",-0.004736680005050683
2014-07-08,84.2255,84.3683,83.7126,83.9758,2444747,2444747,-0.365732,-0.434,84.0376,"Jul 8, 14",-0.00905208577945762
2014-07-09,84.3683,84.5377,84.056,84.4753,1512419,1512419,0.499536,0.595,84.3364,"Jul 9, 14",-0.0031577866700337326
2014-07-10,83.61,84.1898,83.4495,84.1185,1656089,1656089,-0.35681,-0.422,84.0059,"Jul 10, 14",-0.007368168896745432
2014-07-11,84.1809,84.511,83.9535,84.4575,1116980,1116980,0.338972,0.403,84.2553,"Jul 11, 14",-0.003367833765424712
2014-07-14,84.9035,85.4833,84.9035,85.2424,1416692,1416692,0.784985,0.929,85.2554,"Jul 14, 14",0.005894299109423888
2014-07-15,85.2157,85.6617,85.1622,85.5903,1575758,1575758,0.347892,0.408,85.5062,"Jul 15, 14",0.009999657788440013
2014-07-16,85.5725,85.6439,85.1532,85.296,1437768,1437768,-0.29437,-0.344,85.3104,"Jul 16, 14",0.006526800475320063
2014-07-17,85.0373,85.403,84.4218,84.4753,1202901,1202901,-0.820669,-0.962,84.7733,"Jul 17, 14",-0.0031577866700337326
2014-07-18,84.6805,85.1354,84.5199,85.0462,1737427,1737427,0.5709,0.676,84.9099,"Jul 18, 14",0.0035790609006771425
