date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,74.1138,74.3182,73.4775,73.798,2559953,2559953,-0.329757,-0.445,73.7464,"Jun 12, 14",0
2014-06-13,73.7051,73.733,73.0177,73.5565,2265154,2265154,-0.241532,-0.327,73.3678,"Jun 13, 14",-0.003272446407761756
2014-06-16,73.5565,73.5843,72.2838,72.4603,4547770,4547770,-1.0962,-1.49,72.7484,"Jun 16, 14",-0.01812650749342798
2014-06-17,72.3674,72.6925,72.0236,72.6182,3430890,3430890,0.157927,0.218,72.4705,"Jun 17, 14",-0.015986883113363506
2014-06-18,72.6182,73.733,72.2559,73.5843,4823037,4823037,0.966138,1.33,72.9702,"Jun 18, 14",-0.0028957424320442677
2014-06-19,73.7144,75.0521,73.6308,74.792,4544281,4544281,1.2077,1.641,74.5445,"Jun 19, 14",0.013469199707309138
2014-06-20,75.0893,75.6978,74.7456,75.6281,7366539,7366539,0.83608,1.118,75.3933,"Jun 20, 14",0.024798775034553803
2014-06-23,75.6095,75.851,75.2286,75.7024,3066875,3066875,0.074317,0.098,75.6468,"Jun 23, 14",0.02580557738692099
2014-06-24,75.6467,76.5338,75.6374,75.9346,4685483,4685483,0.232244,0.307,76.0691,"Jun 24, 14",0.028952004119352847
2014-06-25,75.5723,76.5292,75.0707,76.492,3634609,3634609,0.557386,0.734,76.0802,"Jun 25, 14",0.036505054337515955
2014-06-26,76.6221,76.6221,75.8603,76.4456,2916113,2916113,-0.046446,-0.061,76.2399,"Jun 26, 14",0.03587631101113847
2014-06-27,75.8882,76.2784,75.5352,76.1762,4755622,4755622,-0.269404,-0.352,78.4474,"Jun 27, 14",0.03222580557738682
2014-06-30,76.4363,76.6778,75.7999,75.9439,3916130,3916130,-0.232244,-0.305,76.2983,"Jun 30, 14",0.029078023794682748
2014-07-01,75.9346,76.5013,75.851,76.074,5482404,5482404,0.130054,0.171,76.1951,"Jul 1, 14",0.030840944199029732
2014-07-02,75.9904,76.6592,75.3122,76.6314,3693498,3693498,0.55739,0.733,76.2688,"Jul 2, 14",0.038393994417192844
2014-07-03,76.7243,77.5139,76.4735,77.4303,2183356,2183356,0.798918,1.043,77.2606,"Jul 3, 14",0.04921949104311771
2014-07-07,77.0959,77.1981,75.9811,76.3806,2558521,2558521,-1.0497,-1.356,76.418,"Jul 7, 14",0.03499552833410118
2014-07-08,76.1948,76.2412,75.6002,76.1112,2972233,2972233,-0.269403,-0.353,75.9867,"Jul 8, 14",0.03134502290034953
2014-07-09,76.1576,76.8729,76.074,76.8636,3079544,3079544,0.752471,0.989,76.6419,"Jul 9, 14",0.041540421149624696
2014-07-10,75.5073,76.65,75.2937,76.2505,3829357,3829357,-0.613125,-0.798,76.1738,"Jul 10, 14",0.0332326079297542
2014-07-11,76.1019,77.2259,75.9216,76.9844,2758370,2758370,0.73389,0.962,76.7228,"Jul 11, 14",0.04317732187864159
2014-07-14,77.4117,78.6751,77.3002,78.285,3800692,3800692,1.3006,1.689,78.3522,"Jul 14, 14",0.06080110572102218
2014-07-15,78.0713,78.7216,77.7855,77.9412,4375967,4375967,-0.343722,-0.439,78.2031,"Jul 15, 14",0.056142442884630925
2014-07-16,78.0992,78.1549,77.3049,77.8112,3955246,3955246,-0.130059,-0.167,77.6622,"Jul 16, 14",0.05438087753055635
2014-07-17,78.2664,81.044,77.5046,79.0653,7118352,7118352,1.2541,1.612,79.7391,"Jul 17, 14",0.07137456299628704
2014-07-18,79.3997,79.6877,78.4336,79.4462,3892050,3892050,0.380883,0.482,79.2979,"Jul 18, 14",0.07653594948372588
2014-07-21,79.1675,79.2325,78.062,79.0189,4025054,4025054,-0.42733,-0.538,78.7218,"Jul 21, 14",0.07074581966990975
2014-07-22,79.4462,80.5981,79.3997,79.9385,4366881,4366881,0.919687,1.164,80.1461,"Jul 22, 14",0.0832068619745793
2014-07-23,80.1801,80.3984,79.6784,79.8364,2596329,2596329,-0.102187,-0.128,79.9863,"Jul 23, 14",0.08182335564649443
2014-07-24,79.3812,80.1987,79.2325,79.5948,4022427,4022427,-0.241533,-0.303,79.7665,"Jul 24, 14",0.07854955418846045
2014-07-25,78.1456,78.9724,78.0341,78.6658,3362632,3362632,-0.928978,-1.167,78.5694,"Jul 25, 14",0.0659611371581886
2014-07-28,78.991,79.7992,78.5915,79.6598,2206871,2206871,0.994004,1.264,79.4146,"Jul 28, 14",0.07943033686549773
2014-07-29,78.926,79.4833,78.0248,78.285,4897834,4897834,-1.3749,-1.726,78.3853,"Jul 29, 14",0.06080110572102218
2014-07-30,78.7402,78.8423,75.9161,77.0587,7171944,7171944,-1.2263,-1.566,76.7866,"Jul 30, 14",0.04418412423100897
2014-07-31,75.9625,76.3434,74.8245,75.2937,5345605,5345605,-1.7651,-2.291,75.3014,"Jul 31, 14",0.02026748692376486
2014-08-01,75.7953,76.6685,75.3912,76.427,3197713,3197713,1.1334,1.505,76.1758,"Aug 1, 14",0.03562427166047867
2014-08-04,75.7953,76.6685,75.3912,76.427,3197713,3197713,0,0,76.1758,"Aug 4, 14",0.03562427166047867
2014-08-05,76.0183,76.6685,74.8477,75.2379,4599538,4599538,-1.1891,-1.556,75.4196,"Aug 5, 14",0.019511368871785065
