date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,104.7072,105.0537,103.562,103.8187,2537871,2537871,-1.2883,-1.226,104.0935,"Jun 12, 14",0
2014-06-13,103.8809,104.1919,103.3256,103.7654,1919833,1919833,-0.05331,-0.051,103.7618,"Jun 13, 14",-0.0005133949856818399
2014-06-16,103.5344,104.1386,103.2412,103.8365,1810217,1810217,0.07108,0.069,103.7958,"Jun 16, 14",0.00017145273443025237
2014-06-17,103.3923,104.2719,103.2412,103.9609,2243970,2243970,0.124386,0.12,103.9029,"Jun 17, 14",0.0013696954402240475
2014-06-18,104.032,104.3696,103.0013,104.1564,2896281,2896281,0.195466,0.188,103.61,"Jun 18, 14",0.003252785866130072
2014-06-19,104.3696,104.6095,103.6455,104.4673,2256978,2256978,0.310968,0.299,104.2368,"Jun 19, 14",0.006247429413005438
2014-06-20,104.9382,105.0893,104.3429,104.8316,5249698,5249698,0.364275,0.349,104.9809,"Jun 20, 14",0.009756431163171833
2014-06-23,104.645,104.7783,103.6944,104.0675,2100981,2100981,-0.76409,-0.729,104.0677,"Jun 23, 14",0.0023964854115875902
2014-06-24,103.6766,103.9431,102.7526,102.7792,2770329,2770329,-1.2883,-1.238,103.2934,"Jun 24, 14",-0.010012647047208294
2014-06-25,102.7437,103.3656,102.4949,103.1702,2467336,2467336,0.39093,0.38,103.0017,"Jun 25, 14",-0.00624646619539652
2014-06-26,103.1168,103.259,102.2284,102.8414,2914236,2914236,-0.328735,-0.319,102.6661,"Jun 26, 14",-0.009413525694311465
2014-06-27,102.8236,103.5789,102.6015,103.5789,9124025,9124025,0.737436,0.717,113.5416,"Jun 27, 14",-0.0023097958267634102
2014-06-30,103.41,103.41,102.3528,102.5749,3384312,3384312,-1.004,-0.969,103.0328,"Jun 30, 14",-0.011980500622720254
2014-07-01,103.0369,103.4811,102.6193,103.0013,3245267,3245267,0.426473,0.416,103.1045,"Jul 1, 14",-0.007873340737266083
2014-07-02,103.0458,103.0458,101.9085,102.2994,3821628,3821628,-0.701901,-0.681,102.1975,"Jul 2, 14",-0.01463416513595336
2014-07-03,102.6371,103.0635,102.5216,102.646,1746017,1746017,0.346508,0.339,102.7732,"Jul 3, 14",-0.011295652902608162
2014-07-07,102.717,102.8858,101.9174,102.2639,3785466,3785466,-0.382044,-0.372,102.1351,"Jul 7, 14",-0.01497610738720481
2014-07-08,101.9529,102.2639,101.2422,101.3488,2862034,2862034,-0.915135,-0.895,101.4594,"Jul 8, 14",-0.02379051172861931
2014-07-09,101.5975,101.7308,100.7357,101.1444,3358370,3358370,-0.204352,-0.202,101.0696,"Jul 9, 14",-0.025759328521740323
2014-07-10,100.2115,101.2155,99.9014,100.8512,3654818,3654818,-0.293198,-0.29,100.692,"Jul 10, 14",-0.028583482551794628
2014-07-11,101.1089,101.7752,100.8779,101.4021,3697642,3697642,0.550859,0.546,101.4271,"Jul 11, 14",-0.02327711674293747
2014-07-14,102.1573,102.486,101.8819,102.0684,3017400,3017400,0.666358,0.657,102.138,"Jul 14, 14",-0.016859197813110835
2014-07-15,102.3172,103.2857,101.8552,102.0329,4488711,4488711,-0.035538,-0.035,102.265,"Jul 15, 14",-0.017201140064362287
2014-07-16,102.4149,102.4149,101.4909,101.6064,3503710,3503710,-0.426471,-0.418,101.7386,"Jul 16, 14",-0.021309263167425648
2014-07-17,101.2244,101.3843,100.1493,100.1938,4876198,4876198,-1.4127,-1.39,100.7887,"Jul 17, 14",-0.034915675114406276
2014-07-18,100.407,100.9801,100.2124,100.9045,4244977,4244977,0.710779,0.709,100.6306,"Jul 18, 14",-0.028070087566112924
2014-07-21,100.7713,100.8423,100.0161,100.3803,5188155,5188155,-0.524202,-0.52,100.3679,"Jul 21, 14",-0.03311927427332457
2014-07-22,101.1622,101.2866,96.9419,98.4968,10528226,10528226,-1.8836,-1.876,98.5357,"Jul 22, 14",-0.05126147794183527
2014-07-23,98.3102,98.5412,97.3328,97.4928,6990953,6990953,-1.004,-1.019,97.7814,"Jul 23, 14",-0.060932182737791975
2014-07-24,97.7327,97.9015,96.6576,96.7998,6811902,6811902,-0.693016,-0.711,97.0969,"Jul 24, 14",-0.06760728076926413
2014-07-25,96.5243,97.0219,96.3378,96.7376,4349771,4349771,-0.062192,-0.064,96.6288,"Jul 25, 14",-0.0682064021221611
2014-07-28,96.8531,96.9952,96.0268,96.8353,5391509,5391509,0.097731,0.101,96.5624,"Jul 28, 14",-0.06726533851801268
2014-07-29,96.6754,97.0663,95.2538,95.3604,5480659,5480659,-1.4749,-1.523,96.0657,"Jul 29, 14",-0.08147183503549946
2014-07-30,95.7869,96.089,94.2409,94.5164,5978252,5978252,-0.844056,-0.885,94.738,"Jul 30, 14",-0.08960139165680173
2014-07-31,93.9122,94.6843,93.3791,93.4235,6528939,6528939,-1.0928,-1.156,93.9265,"Jul 31, 14",-0.10012839690730092
2014-08-01,93.2192,94.0099,92.6239,93.0682,4731390,4731390,-0.355391,-0.38,93.2493,"Aug 1, 14",-0.103550709072643
2014-08-04,93.3258,93.5924,92.7527,93.3347,3985887,3985887,0.266543,0.286,93.2249,"Aug 4, 14",-0.10098373414423421
2014-08-05,93.1303,93.93,92.8283,93.308,5579417,5579417,-0.026652,-0.029,93.3665,"Aug 5, 14",-0.10124091324587958
2014-08-06,92.6239,92.8905,91.6377,92.2152,5408910,5408910,-1.0928,-1.171,92.4138,"Aug 6, 14",-0.11176695527876972
2014-08-07,92.7483,92.9082,92.1708,92.5973,4155700,4155700,0.382045,0.414,92.5258,"Aug 7, 14",-0.10808650079417294
2014-08-08,92.9971,94.161,92.5084,94.1432,4479803,4479803,1.546,1.67,93.6095,"Aug 8, 14",-0.09319611977418339
2014-08-11,94.6852,94.934,93.8944,93.93,3262564,3262564,-0.213233,-0.226,94.2475,"Aug 11, 14",-0.09524969971691034
2014-08-12,93.6012,94.0011,93.0815,93.2103,4353197,4353197,-0.719668,-0.766,93.3519,"Aug 12, 14",-0.102181976850028
2014-08-13,93.6213,94.5059,93.6213,94.3183,3487744,3487744,1.108,1.189,94.2744,"Aug 13, 14",-0.0915095257405459
2014-08-14,94.3093,94.7561,94.2647,94.5059,2327209,2327209,0.187636,0.199,94.5513,"Aug 14, 14",-0.0897025295057635
2014-08-15,94.9884,95.0331,93.7643,94.3808,3106685,3106685,-0.125092,-0.132,94.3174,"Aug 15, 14",-0.0909075147348215
2014-08-18,95.3011,96.6056,95.1403,96.5788,5037069,5037069,2.198,2.329,96.189,"Aug 18, 14",-0.06973599168550565
2014-08-19,96.6592,97.0166,96.2214,96.9988,3962043,3962043,0.419947,0.435,96.7278,"Aug 19, 14",-0.06569047772703765
2014-08-20,97.0345,98.1693,96.9988,98.0263,4502248,4502248,1.0275,1.059,97.8011,"Aug 20, 14",-0.055793416792928444
2014-08-21,98.2854,98.482,97.8387,98.339,2849592,2849592,0.312727,0.319,98.2857,"Aug 21, 14",-0.05278143532908819
2014-08-22,98.0978,98.2318,97.6064,97.7404,2365410,2365410,-0.598648,-0.609,97.8494,"Aug 22, 14",-0.05854725593751427
2014-08-25,98.2765,98.2854,97.2311,97.5706,2629711,2629711,-0.169768,-0.174,97.5197,"Aug 25, 14",-0.06018279943786627
2014-08-26,98.1961,98.4373,97.9638,97.9995,2022710,2022710,0.428885,0.44,98.1636,"Aug 26, 14",-0.05605155911218315
2014-08-27,98.4641,98.5892,97.2758,97.4723,2550527,2550527,-0.527166,-0.538,97.5824,"Aug 27, 14",-0.061129642347669565
