date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,51.3216,51.5101,51.0413,51.1718,6218044,1554511,-0.219892,-0.428,51.2337,"Jun 12, 14",0
2014-06-13,51.196,51.2443,50.9495,51.0558,7085204,1771301,-0.115986,-0.227,51.0333,"Jun 13, 14",-0.002266873551448252
2014-06-16,50.9567,50.9833,50.7368,50.8021,7909296,1977324,-0.25372,-0.497,50.8102,"Jun 16, 14",-0.007224682344572491
2014-06-17,50.7779,51.208,50.7199,50.9398,5728516,1432129,0.137731,0.271,51.8799,"Jun 17, 14",-0.004533747102896504
2014-06-18,50.8528,51.0461,50.5097,51.0461,10332768,2583192,0.106321,0.209,50.8093,"Jun 18, 14",-0.0024564310811813306
2014-06-19,51.0993,51.266,50.2656,50.8214,15331316,3832829,-0.224724,-0.44,50.7176,"Jun 19, 14",-0.006847521486443715
2014-06-20,51.1114,51.2564,50.5266,50.6209,18371640,4592910,-0.200556,-0.395,50.8685,"Jun 20, 14",-0.010765695168041746
2014-06-23,50.5025,50.6982,50.3043,50.616,14765224,3691306,-0.004835,-0.01,50.5208,"Jun 23, 14",-0.010861451033577045
2014-06-24,50.5677,50.8867,50.111,50.2101,13101672,3275418,-0.405953,-0.802,50.5021,"Jun 24, 14",-0.018793554262308547
2014-06-25,50.0941,50.8625,50.0941,50.517,8256540,2064135,0.306882,0.611,50.5868,"Jun 25, 14",-0.012796110357657821
2014-06-26,50.703,50.7103,50.1545,50.4928,8580608,2145152,-0.024165,-0.048,50.3936,"Jun 26, 14",-0.013269027081322037
2014-06-27,50.285,50.7199,50.2258,50.5701,12961296,3240324,0.077322,0.153,51.6627,"Jun 27, 14",-0.011758429447469134
2014-06-30,50.4203,51.1645,50.3816,50.9157,9985672,2496418,0.345545,0.683,50.9322,"Jun 30, 14",-0.005004709625223198
2014-07-01,51.2153,52.0369,51.1863,51.7711,10995284,2748821,0.855401,1.68,51.8329,"Jul 1, 14",0.011711528615370176
2014-07-02,51.9233,52.0707,51.7711,51.9136,5780668,1445167,0.142568,0.275,52.1326,"Jul 2, 14",0.01449626552124422
2014-07-03,52.0272,52.4356,51.9764,52.3172,5571640,1392910,0.403536,0.777,52.3114,"Jul 3, 14",0.022383422119214142
2014-07-07,52.2978,52.5685,52.1069,52.3727,6634548,1658637,0.055577,0.106,52.3372,"Jul 7, 14",0.023468003861501927
2014-07-08,52.38,52.409,51.5053,52.0151,12158064,3039516,-0.357629,-0.683,51.9238,"Jul 8, 14",0.016479779878761334
2014-07-09,52.0731,52.2616,51.8339,52.2326,5178168,1294542,0.217477,0.418,52.0781,"Jul 9, 14",0.020730167787726843
2014-07-10,51.6623,52.409,51.3907,52.0828,8536704,2134176,-0.149811,-0.287,51.9766,"Jul 10, 14",0.01780277418421868
2014-07-11,52.1818,52.4452,51.8001,52.4356,5715920,1428980,0.352788,0.677,52.1896,"Jul 11, 14",0.024697196502761355
2014-07-14,52.8584,53.7307,52.5926,53.4094,13725012,3431253,0.973805,1.857,53.3591,"Jul 14, 14",0.043727209126901936
2014-07-15,53.564,54.3083,53.378,53.5906,10902016,2725504,0.181225,0.339,53.7384,"Jul 15, 14",0.04726822195037119
2014-07-16,53.8709,53.9241,53.4214,53.8057,8854088,2213522,0.215061,0.401,53.7155,"Jul 16, 14",0.051471709027237744
2014-07-17,53.6293,53.6438,52.6361,52.6482,9832240,2458060,-1.1575,-2.151,52.9848,"Jul 17, 14",0.02885182854619156
2014-07-18,52.9623,53.6172,52.8995,53.2088,11083592,2770898,0.560604,1.065,53.3386,"Jul 18, 14",0.03980708124396639
