date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,39.227,39.2907,38.813,39.0439,11524658,11524658,-0.262735,-0.668,38.9924,"Jun 12, 14",0
2014-06-13,38.9563,39.2589,38.8608,39.1554,11121696,11121696,0.111463,0.285,39.1227,"Jun 13, 14",0.0028557597985856813
2014-06-16,39.1952,39.3465,39.0519,39.2589,9172249,9172249,0.103504,0.264,39.2206,"Jun 16, 14",0.005506622033147209
2014-06-17,39.1634,39.2947,38.9723,39.1793,11086403,11086403,-0.079617,-0.203,39.141,"Jun 17, 14",0.003467891271107576
2014-06-18,39.02,39.3465,38.8528,39.3465,11917013,11917013,0.167195,0.427,39.0836,"Jun 18, 14",0.007750250359210996
2014-06-19,39.3465,39.6251,39.243,39.3863,11275702,11275702,0.039806,0.101,39.3953,"Jun 19, 14",0.008769615740230812
2014-06-20,39.6092,39.6092,39.1713,39.3226,18210631,18210631,-0.063691,-0.162,39.4437,"Jun 20, 14",0.007138118886689101
2014-06-23,39.2987,39.6172,39.1076,39.5933,11860010,11860010,0.270696,0.688,39.4018,"Jun 23, 14",0.01407134020935405
2014-06-24,39.6012,39.641,39.1634,39.235,13541703,13541703,-0.358274,-0.905,39.3181,"Jun 24, 14",0.004894490560625314
2014-06-25,39.1235,39.4022,39.0997,39.3385,11334307,11334307,0.103499,0.264,39.2997,"Jun 25, 14",0.007545352795187024
2014-06-26,39.3385,39.3385,38.9086,39.1793,9332597,9332597,-0.159231,-0.405,39.0773,"Jun 26, 14",0.003467891271107576
2014-06-27,39.1474,39.2788,38.9165,39.2669,12390063,12390063,0.087578,0.224,40.2285,"Jun 27, 14",0.005711519597171363
2014-06-30,39.227,39.3704,38.8608,38.9563,16818489,16818489,-0.310505,-0.791,39.075,"Jun 30, 14",-0.002243628326063787
2014-07-01,38.9165,39.45,38.8688,39.3067,14298501,14298501,0.350312,0.899,39.2326,"Jul 1, 14",0.0067308849781911794
2014-07-02,39.4261,39.5933,39.2669,39.5376,11576149,11576149,0.23089,0.587,39.4854,"Jul 2, 14",0.01264474091983631
2014-07-03,39.7286,39.7605,39.2907,39.5774,8238567,8238567,0.039804,0.101,39.4968,"Jul 3, 14",0.013664106300856127
2014-07-07,39.4977,39.7127,39.45,39.6092,13939261,13939261,0.031849,0.08,39.2022,"Jul 7, 14",0.01447857411785197
2014-07-08,39.4402,39.4885,39.239,39.239,12858230,12858230,-0.370189,-0.935,39.328,"Jul 8, 14",0.0049969393426373
2014-07-09,39.4241,39.5207,39.2068,39.3517,14438372,14438372,0.112663,0.287,39.3403,"Jul 9, 14",0.007883433775826705
2014-07-10,39.1022,40.0518,39.062,39.9472,18425201,18425201,0.595506,1.513,39.7406,"Jul 10, 14",0.02313549619786962
2014-07-11,40.1162,40.5829,39.9713,40.4944,17741199,17741199,0.547221,1.37,40.344,"Jul 11, 14",0.03715048957711699
2014-07-14,40.591,40.7197,40.3576,40.6634,13024984,13024984,0.168995,0.417,40.6262,"Jul 14, 14",0.041478950617125906
2014-07-15,40.6956,40.8968,40.5346,40.8083,14250973,14250973,0.144854,0.356,40.7448,"Jul 15, 14",0.045190157745512154
2014-07-16,40.9531,41.0537,40.7761,41.0094,12798832,12798832,0.201183,0.493,40.9473,"Jul 16, 14",0.050340770261167525
2014-07-17,40.8726,41.0255,40.43,40.4944,11492641,11492641,-0.515032,-1.256,40.6799,"Jul 17, 14",0.03715048957711699
2014-07-18,40.7358,40.9209,40.595,40.8404,10131636,10131636,0.346038,0.855,40.7692,"Jul 18, 14",0.046012309221158794
2014-07-21,40.8968,41.0416,40.6714,40.8002,11338524,11338524,-0.04024,-0.099,40.8214,"Jul 21, 14",0.044982698961937614
2014-07-22,41.0255,41.1543,40.5668,41.0255,15037383,15037383,0.22533,0.552,40.953,"Jul 22, 14",0.05075312660876603
2014-07-23,41.0255,41.2026,40.8646,40.9692,11912994,11912994,-0.056333,-0.137,41.0734,"Jul 23, 14",0.049311160001946526
2014-07-24,41.0094,41.4038,40.8083,41.0819,17616157,17616157,0.112664,0.275,41.1238,"Jul 24, 14",0.05219765443513575
2014-07-25,41.098,41.4278,41.098,41.267,11063240,11063240,0.185091,0.451,41.2782,"Jul 25, 14",0.05693847182274318
2014-07-28,41.2509,41.5084,41.1865,41.5084,9601109,9601109,0.241419,0.585,41.364,"Jul 28, 14",0.06312125581716993
2014-07-29,42.804,43.1822,41.7498,41.8222,32966125,32966125,0.313851,0.756,42.2748,"Jul 29, 14",0.0711583627660147
2014-07-30,41.7981,41.9671,41.3796,41.6532,12769235,12769235,-0.168997,-0.404,41.6562,"Jul 30, 14",0.0668299017260058
2014-07-31,41.2509,41.3474,40.5185,40.5749,21258154,21258154,-1.0783,-2.589,40.8251,"Jul 31, 14",0.03921227131510937
2014-08-01,40.6554,40.6554,40.1001,40.1001,18256602,18256602,-0.474793,-1.17,40.3489,"Aug 1, 14",0.027051600890279838
2014-08-04,40.2691,40.4783,39.9472,40.4059,11702943,11702943,0.305799,0.763,40.2051,"Aug 4, 14",0.03488381027510064
2014-08-05,40.3576,40.3978,39.8345,39.9633,11567207,11567207,-0.442607,-1.095,40.0424,"Aug 5, 14",0.023547852545467946
2014-08-06,39.754,39.7943,38.9171,39.5368,18996610,18996610,-0.42651,-1.067,39.3741,"Aug 6, 14",0.01262425116343395
2014-08-07,39.5609,39.6897,38.9895,39.1505,12153308,12153308,-0.386276,-0.977,39.2083,"Aug 7, 14",0.0027302600406209484
2014-08-08,39.2149,39.5126,38.7884,39.1907,15404388,15404388,0.040237,0.103,39.0647,"Aug 8, 14",0.0037598702998419453
2014-08-11,39.3436,39.4607,39.1183,39.1666,11839202,11839202,-0.024141,-0.062,39.2942,"Aug 11, 14",0.003142616388219461
2014-08-12,39.2712,39.3919,39.074,39.3034,12325975,12325975,0.136807,0.349,39.2284,"Aug 12, 14",0.00664636473303135
2014-08-13,39.4322,39.4482,39.239,39.3678,10897821,10897821,0.064376,0.164,39.3369,"Aug 13, 14",0.008295790123425217
2014-08-14,39.4482,39.4482,39.2792,39.4322,11539256,11539256,0.064382,0.164,39.3794,"Aug 14, 14",0.009945215513819085
2014-08-15,39.3517,39.4724,39.0298,39.2712,16380737,16380737,-0.160948,-0.408,39.2453,"Aug 15, 14",0.005821652037834325
2014-08-18,39.4724,39.5448,39.1424,39.2551,12682058,12682058,-0.016094,-0.041,39.255,"Aug 18, 14",0.005409295690235813
