date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,67.7831,67.8833,65.9602,66.0514,7302435,7302435,-2.0051,-2.946,66.5607,"Jun 12, 14",0
2014-06-13,66.343,67.0448,66.343,66.5891,4172342,4172342,0.537743,0.814,67.0309,"Jun 13, 14",0.008140629873098843
2014-06-16,66.4433,67.0995,65.8919,66.7987,4831287,4831287,0.209632,0.315,66.5184,"Jun 16, 14",0.011313916131981997
2014-06-17,66.4888,66.899,66.0149,66.6256,2956281,2956281,-0.173175,-0.259,66.6006,"Jun 17, 14",0.008693229817990302
2014-06-18,68.3026,69.4236,67.5425,69.3416,8848447,8848447,2.7161,4.077,68.8088,"Jun 18, 14",0.0498127216077176
2014-06-19,69.4601,69.6242,68.6854,68.7127,6472823,6472823,-0.628889,-0.907,68.8871,"Jun 19, 14",0.04029134885861613
2014-06-20,68.895,68.895,67.856,67.938,6547872,6547872,-0.774717,-1.127,68.2154,"Jun 20, 14",0.028562604274852636
2014-06-23,68.3937,68.6125,66.9354,67.1998,7993799,7993799,-0.738256,-1.087,67.5752,"Jun 23, 14",0.01738645963598039
2014-06-24,66.6256,67.3547,65.3769,66.0605,14048602,14048602,-1.1393,-1.695,66.228,"Jun 24, 14",0.00013777149310996678
2014-06-25,66.6256,68.093,66.4524,67.619,8677363,8677363,1.5585,2.359,67.5317,"Jun 25, 14",0.023733032153746912
2014-06-26,67.3729,67.8286,66.7258,67.6555,4102875,4102875,0.036458,0.054,67.4989,"Jun 26, 14",0.02428563209863837
2014-06-27,67.619,67.8378,67.136,67.537,4082539,4082539,-0.118487,-0.175,69.0918,"Jun 27, 14",0.02249157474330605
2014-06-30,67.8833,67.9745,67.4276,67.5643,4022444,4022444,0.027344,0.04,67.7898,"Jun 30, 14",0.022904889222635734
2014-07-01,67.7193,67.7466,66.8808,67.2453,4191876,4191876,-0.318999,-0.472,67.2505,"Jul 1, 14",0.01807531710153001
2014-07-02,67.2271,67.5643,66.3977,66.5709,5240257,5240257,-0.67446,-1.003,66.8699,"Jul 2, 14",0.00786508688687891
2014-07-03,66.817,67.7831,66.744,67.4276,4730057,4730057,0.856744,1.287,67.4646,"Jul 3, 14",0.020835288881083477
2014-07-07,67.3274,67.4094,66.7532,67.063,3233362,3233362,-0.364572,-0.541,66.9937,"Jul 7, 14",0.015315345321976542
2014-07-08,66.662,66.7623,64.7662,64.8209,8850831,8850831,-2.2421,-3.343,65.2548,"Jul 8, 14",-0.018629431018873276
2014-07-09,65.4316,65.8873,65.1855,65.5774,5097894,5097894,0.756489,1.167,65.5647,"Jul 9, 14",-0.007176229421329506
2014-07-10,64.7298,65.2858,64.42,65.1946,3910910,3910910,-0.382798,-0.584,65.0621,"Jul 10, 14",-0.012971715966656375
2014-07-11,64.8483,65.4042,64.7389,65.3131,2690033,2690033,0.118483,0.182,65.0892,"Jul 11, 14",-0.011177658611323837
2014-07-14,65.6594,65.6913,64.8027,65.1582,4172897,4172897,-0.154943,-0.237,65.2143,"Jul 14, 14",-0.013522801939096028
2014-07-15,65.1308,65.5227,64.7207,65.2493,5703669,5703669,0.091143,0.14,65.1884,"Jul 15, 14",-0.012143573035544981
2014-07-16,65.5501,65.9967,64.3561,65.0944,11340332,11340332,-0.154942,-0.237,65.1844,"Jul 16, 14",-0.014488716363317172
2014-07-17,64.1009,65.9238,64.0189,65.5956,6967198,6967198,0.501286,0.77,65.4098,"Jul 17, 14",-0.006900686435109573
2014-07-18,64.1009,65.9238,64.0189,65.5956,6967198,6967198,0,0,65.4098,"Jul 18, 14",-0.006900686435109573
2014-07-21,65.3131,65.705,64.7298,65.3222,3613665,3613665,-0.27343,-0.417,65.2148,"Jul 21, 14",-0.011039887118214086
2014-07-22,65.9784,66.7714,65.8508,66.4068,6258782,6258782,1.0846,1.66,66.3799,"Jul 22, 14",0.005380658093545376
2014-07-23,66.179,66.5071,65.9511,66.4433,7214976,7214976,0.036456,0.055,66.3432,"Jul 23, 14",0.0059332580384366205
2014-07-24,66.6073,67.218,66.1243,66.6073,6606465,6606465,0.164056,0.247,66.7372,"Jul 24, 14",0.008416172859318562
2014-07-25,66.425,66.8352,66.261,66.7987,3367700,3367700,0.191403,0.287,66.6939,"Jul 25, 14",0.011313916131981997
2014-07-28,66.817,66.8534,65.067,65.1217,5145841,5145841,-1.677,-2.511,65.4083,"Jul 28, 14",-0.014075401883987272
2014-07-29,65.1126,65.1581,63.9368,63.9459,4900242,4900242,-1.1757,-1.805,64.296,"Jul 29, 14",-0.031876689971749264
2014-07-30,64.4472,64.7298,63.8913,64.6113,4831136,4831136,0.665345,1.04,64.4354,"Jul 30, 14",-0.021802717277756428
2014-07-31,64.1829,64.4928,62.4147,62.6791,9359651,9359651,-1.9322,-2.991,63.0254,"Jul 31, 14",-0.051055692990610385
2014-08-01,61.9773,64.6523,61.9773,64.2832,8120698,8120698,1.6041,2.559,63.8658,"Aug 1, 14",-0.02677006089197212
2014-08-04,64.7389,66.4524,64.666,65.7232,8936352,8936352,1.4401,2.24,65.6592,"Aug 4, 14",-0.0049688575866672835
2014-08-05,65.5318,66.3157,60.6101,62.9981,31358221,31358221,-2.7252,-4.146,63.0777,"Aug 5, 14",-0.04622612086950466
2014-08-06,52.8447,56.053,52.6351,53.9658,84138863,84138863,-9.0323,-14.337,54.5137,"Aug 6, 14",-0.18297265462957635
2014-08-07,55.2509,55.7613,53.7106,55.4788,33620834,33620834,1.513,2.804,54.6363,"Aug 7, 14",-0.1600662514344889
2014-08-08,55.6337,57.0167,55.2965,55.3238,26909936,26909936,-0.154941,-0.279,56.2362,"Aug 8, 14",-0.1624129087347127
2014-08-11,56.2352,56.6636,55.9071,56.4996,10255304,10255304,1.1757,2.125,56.4477,"Aug 11, 14",-0.1446116206469507
2014-08-12,56.6454,56.7639,55.898,56.6545,12394153,12394153,0.154941,0.274,56.4153,"Aug 12, 14",-0.14226647731917874
2014-08-13,57.0008,57.2743,56.6146,56.9188,6933518,6933518,0.264318,0.467,57.0126,"Aug 13, 14",-0.1382650481291843
2014-08-14,56.9735,57.2743,56.5907,56.7365,6360516,6360516,-0.182287,-0.32,56.7952,"Aug 14, 14",-0.14102501990873775
2014-08-15,56.9188,56.9553,56.0347,56.2808,8870935,8870935,-0.455713,-0.803,56.3776,"Aug 15, 14",-0.14792419237139565
2014-08-18,56.8459,56.8641,56.1897,56.5725,7348414,7348414,0.291656,0.518,56.5744,"Aug 18, 14",-0.1435079347296197
2014-08-19,56.5087,56.937,56.2733,56.6454,6924944,6924944,0.072913,0.129,56.761,"Aug 19, 14",-0.14240424881228858
2014-08-20,56.4996,56.7821,56.3173,56.5087,6665915,6665915,-0.136716,-0.241,56.568,"Aug 20, 14",-0.14447384915384084
2014-08-21,56.6089,56.6089,55.6246,55.661,7882622,7882622,-0.847628,-1.5,55.9907,"Aug 21, 14",-0.15730779362738714
2014-08-22,55.7248,56.1259,55.4696,55.6428,6177170,6177170,-0.018229,-0.033,55.6779,"Aug 22, 14",-0.15758333661360696
2014-08-25,55.9071,55.9071,55.2965,55.4058,5239521,5239521,-0.236973,-0.426,55.4574,"Aug 25, 14",-0.16117145132427171
2014-08-26,54.6129,55.0777,54.5218,54.8863,5032671,5032671,-0.519516,-0.938,54.8796,"Aug 26, 14",-0.16903653821115075
2014-08-27,55.5699,55.7613,55.0777,55.1689,3908995,3908995,0.282546,0.515,55.287,"Aug 27, 14",-0.16475805206248467
2014-08-28,54.9501,55.2691,54.8954,55.1142,3551093,3551093,-0.054686,-0.099,55.0984,"Aug 28, 14",-0.16558619499359595
2014-08-29,55.2144,55.4788,54.9228,55.1598,3189175,3189175,0.045571,0.083,55.1551,"Aug 29, 14",-0.16489582355559465
2014-09-02,54.8954,55.3603,54.6767,54.6949,5431458,5431458,-0.464829,-0.843,54.8931,"Sep 2, 14",-0.17193428148381418
2014-09-03,54.6129,55.0777,54.5218,54.8863,5032671,5032671,0.191398,0.35,54.8796,"Sep 3, 14",-0.16903653821115075
2014-09-04,54.9319,56.9644,54.7587,56.9279,16256238,16256238,2.0416,3.72,56.357,"Sep 4, 14",-0.13812727663607433
2014-09-05,56.773,59.243,56.4175,58.286,20609984,20609984,1.358,2.386,58.2976,"Sep 5, 14",-0.11756601676875887
2014-09-08,58.6141,59.4161,57.2652,57.3836,8898453,8898453,-0.902317,-1.548,58.0938,"Sep 8, 14",-0.13122810417341646
2014-09-09,57.6389,58.0946,56.8824,57.0646,7664997,7664997,-0.319001,-0.556,57.4591,"Sep 9, 14",-0.13605767629452217
2014-09-10,57.1376,57.9396,57.0191,57.7118,5923471,5923471,0.647117,1.134,57.6004,"Sep 10, 14",-0.12625924658674917
2014-09-11,57.6297,57.8576,57.3016,57.8211,3143325,3143325,0.109373,0.19,57.6747,"Sep 11, 14",-0.12460447469697841
2014-09-12,57.8394,58.0308,57.0191,57.2561,4729369,4729369,-0.565087,-0.977,57.3938,"Sep 12, 14",-0.13315841904940692
2014-09-15,57.4839,57.493,56.8003,57.1649,3711437,3711437,-0.091143,-0.159,57.0619,"Sep 15, 14",-0.13453916192540957
2014-09-16,57.092,58.3771,56.9006,58.0034,4268906,4268906,0.838516,1.467,57.9821,"Sep 16, 14",-0.12184450291742493
2014-09-17,57.9943,58.5776,57.7209,58.0854,4767988,4767988,0.082025,0.141,58.2374,"Sep 17, 14",-0.12060304550698397
2014-09-18,57.8576,58.0399,57.3198,57.5842,5643013,5643013,-0.501285,-0.863,57.643,"Sep 18, 14",-0.12819107543519134
2014-09-19,57.9305,58.131,57.2743,57.3107,5705440,5705440,-0.273429,-0.475,57.551,"Sep 19, 14",-0.13233179009074755
2014-09-22,56.6272,56.6272,54.6402,55.0686,11096531,11096531,-2.2421,-3.912,55.3149,"Sep 22, 14",-0.16627656643159716
2014-09-23,54.9501,56.2444,54.7953,55.6884,9195168,9195168,0.619774,1.125,55.6902,"Sep 23, 14",-0.15689296517560566
