date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,66.5714,66.6939,66.16,66.2913,5336596,5336596,-0.376406,-0.565,66.3323,"Jun 12, 14",0
2014-06-13,66.2387,66.3175,65.7573,65.8973,4981452,4981452,-0.393914,-0.594,65.9063,"Jun 13, 14",-0.005943464677868822
2014-06-16,65.7485,66.0724,65.6698,65.9499,3846878,3846878,0.052521,0.08,65.9065,"Jun 16, 14",-0.005149997058437642
2014-06-17,65.9061,66.0199,65.5778,65.6435,6544215,6544215,-0.306376,-0.465,65.8109,"Jun 17, 14",-0.009772021366303023
2014-06-18,65.6873,66.4926,65.5822,66.265,6740696,6740696,0.621509,0.947,66.1875,"Jun 18, 14",-0.0003967338097156973
2014-06-19,66.4226,66.7727,66.3525,66.4138,5255313,5255313,0.148809,0.225,66.5789,"Jun 19, 14",0.0018479046270021564
2014-06-20,66.6677,66.6764,65.7573,66.2475,11335802,11335802,-0.166317,-0.25,66.1784,"Jun 20, 14",-0.0006607201850017196
2014-06-23,66.1424,66.4751,65.9149,66.3438,4276034,4276034,0.096287,0.145,66.2739,"Jun 23, 14",0.000791959125858067
2014-06-24,66.5539,66.7114,66.2518,66.5013,5659196,5659196,0.157567,0.238,66.4714,"Jun 24, 14",0.0031678365034324826
2014-06-25,66.3175,66.3875,65.8973,66.195,4318156,4318156,-0.306376,-0.461,66.1902,"Jun 25, 14",-0.001452679310860001
2014-06-26,66.1074,66.1862,65.3896,65.5735,6922337,6922337,-0.62151,-0.939,65.6606,"Jun 26, 14",-0.010827966867447327
2014-06-27,65.4772,65.9849,65.3634,65.9499,13960847,13960847,0.376407,0.574,76.1259,"Jun 27, 14",-0.005149997058437642
2014-06-30,65.998,66.2562,65.5997,65.7135,6666648,6666648,-0.236346,-0.358,66.0257,"Jun 30, 14",-0.008716075865158934
2014-07-01,65.8886,66.0199,65.4334,65.8973,6604504,6604504,0.183825,0.28,65.7503,"Jul 1, 14",-0.005943464677868822
2014-07-02,65.8798,66.4401,65.8711,66.195,4366772,4366772,0.297624,0.452,66.2338,"Jul 2, 14",-0.001452679310860001
2014-07-03,66.1862,66.5714,66.1074,66.3088,2873959,2873959,0.113797,0.172,66.353,"Jul 3, 14",0.0002639863752860223
2014-07-07,66.2562,66.7114,66.1337,66.5889,5027994,5027994,0.280115,0.422,66.5257,"Jul 7, 14",0.004489276873435708
2014-07-08,66.6064,67.3855,66.5539,67.0966,7960476,7960476,0.507712,0.762,67.1772,"Jul 8, 14",0.012147898743877224
