date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-12,84.553,84.9532,83.8185,83.8928,11421250,11421250,-0.239319,-0.284,84.4267,"Jun 12, 14",0
2014-06-13,84.1156,84.714,83.868,84.7098,8241548,8241548,0.816975,0.974,84.4339,"Jun 13, 14",0.009738618808765559
2014-06-16,84.6438,85.2049,84.3137,84.9326,8977642,8977642,0.222813,0.263,84.9253,"Jun 16, 14",0.012394389029809468
2014-06-17,84.652,84.6603,83.7195,84.52,9355388,9355388,-0.412613,-0.486,84.4601,"Jun 17, 14",0.007476207731772
2014-06-18,84.6438,84.9574,84.2229,84.7758,9575877,9575877,0.255821,0.303,84.6269,"Jun 18, 14",0.010525337096866594
2014-06-19,84.6768,84.8666,83.9093,84.6933,11107691,11107691,-0.082523,-0.097,84.3481,"Jun 19, 14",0.009541939236740215
2014-06-20,85.2297,85.8734,84.9491,85.6835,17681113,17681113,0.990273,1.169,85.8319,"Jun 20, 14",0.021345097553067738
2014-06-23,85.9146,86.3272,85.7248,86.1374,8553670,8553670,0.453877,0.53,86.0197,"Jun 23, 14",0.026755573779871523
2014-06-24,85.9724,86.2117,84.5612,84.7758,9708408,9708408,-1.3616,-1.581,77.5371,"Jun 24, 14",0.010525337096866594
2014-06-25,84.454,84.685,83.7855,84.2889,10716273,10716273,-0.486885,-0.574,84.1912,"Jun 25, 14",0.004721501726012293
2014-06-26,84.1239,84.487,83.2244,84.1981,8424551,8424551,-0.090777,-0.108,84.0208,"Jun 26, 14",0.003639168081170286
2014-06-27,83.9011,84.0001,83.0676,83.5215,15149918,15149918,-0.676686,-0.804,86.9998,"Jun 27, 14",-0.004425886369271152
2014-06-30,83.5215,83.571,82.952,83.0841,9536536,9536536,-0.43737,-0.524,83.548,"Jun 30, 14",-0.009639683024049592
2014-07-01,83.4719,83.835,83.1749,83.6452,8404213,8404213,0.561154,0.675,83.5605,"Jul 1, 14",-0.00295138557778488
2014-07-02,83.4719,83.8763,83.3812,83.8185,6954442,6954442,0.173299,0.207,83.714,"Jul 2, 14",-0.0008856540728166639
2014-07-03,84.1321,85.2214,83.9093,84.6603,6922616,6922616,0.841732,1.004,84.4653,"Jul 3, 14",0.009148580092689868
2014-07-07,84.4457,84.7098,84.1899,84.7098,7980994,7980994,0.049512,0.058,84.5032,"Jul 7, 14",0.009738618808765559
2014-07-08,84.4457,85.1884,84.3137,84.8583,9615023,9615023,0.148544,0.175,84.9547,"Jul 8, 14",0.011508734956992804
2014-07-09,84.9656,85.568,84.8418,85.4525,7659029,7659029,0.594165,0.7,85.3503,"Jul 9, 14",0.018591583544714286
2014-07-10,84.8996,85.0564,84.2064,84.6438,8533731,8533731,-0.808724,-0.946,84.6069,"Jul 10, 14",0.008951900520664524
2014-07-11,84.5035,84.586,83.6122,83.9588,7689643,7689643,-0.68494,-0.809,83.9052,"Jul 11, 14",0.0007867182881010349
2014-07-14,84.3137,85.0646,84.3054,84.7345,8253348,8253348,0.775715,0.924,84.7706,"Jul 14, 14",0.01003304216810028
2014-07-15,84.6108,84.6685,83.9588,84.4952,8760545,8760545,-0.239316,-0.282,84.4001,"Jul 15, 14",0.0071805923750310275
2014-07-16,84.6355,85.6505,84.619,85.634,8879502,8879502,1.1388,1.348,85.4198,"Jul 16, 14",0.02075505883699205
2014-07-17,85.3122,85.7289,84.4127,84.4292,8145741,8145741,-1.2048,-1.407,84.9587,"Jul 17, 14",0.006393874086929993
2014-07-18,84.7428,84.9656,84.0579,84.7758,8208309,8208309,0.346597,0.411,84.632,"Jul 18, 14",0.010525337096866594
2014-07-21,84.4705,85.1554,84.2229,85.0646,6632386,6632386,0.28883,0.341,84.8131,"Jul 21, 14",0.013967825606011538
2014-07-22,85.5268,85.9806,85.4112,85.4442,7426442,7426442,0.379606,0.446,85.6083,"Jul 22, 14",0.01849264775999849
2014-07-23,85.5268,86.1952,85.436,86.0301,7017078,7017078,0.585913,0.686,85.9314,"Jul 23, 14",0.02547656056300434
2014-07-24,86.1704,86.418,85.7826,86.0549,7943024,7943024,0.024758,0.029,86.1721,"Jul 24, 14",0.025772175919745312
2014-07-25,85.7661,85.8156,84.9656,85.1472,7784729,7784729,-0.907755,-1.055,85.2447,"Jul 25, 14",0.014952415463544
2014-07-28,85.601,85.9476,84.6438,85.2049,11072138,11072138,0.057768,0.068,85.1198,"Jul 28, 14",0.015640197966929236
2014-07-29,85.9971,86.451,85.4277,85.4525,8055421,8055421,0.247568,0.291,85.8445,"Jul 29, 14",0.018591583544714286
2014-07-30,85.601,85.9476,84.6438,85.2049,11072188,11072188,-0.247568,-0.29,85.1198,"Jul 30, 14",0.015640197966929236
2014-07-31,84.1569,84.1569,81.6399,81.6482,18297904,18297904,-3.5567,-4.174,82.6246,"Jul 31, 14",-0.026755573779871353
2014-08-01,81.3841,82.1516,81.021,81.5327,14915613,14915613,-0.115532,-0.141,81.5673,"Aug 1, 14",-0.02813233078404808
